"","city","users","contrib","stars","followers"
"1","almeria",23,3320,269,128
"2","cadiz",38,2392,543,314
"3","cordoba",62,3560,278,365
"4","granada",181,29413,1384,1227
"5","huelva",8,2039,145,118
"6","jaen",22,2634,146,160
"7","malaga",84,7363,920,526
"8","sevilla",114,11452,1255,1183
