alava  117
alicante  345
almeria  117
andalucia  60
asturias  279
avila  8
badajoz  198
baleares  252
barcelona 4376
bilbao  365
cadiz  190
canarias  125
cantabria  104
castellon  41
catalunya  310
ceuta  4
ciudadreal  49
cordoba 786 
coruña 302 
cuenca  58
donostia  122
españa 11723
euskadi  66
extremadura  6
galicia  165
gerona  121
granada  639
huelva  38
jaen  93
leon  182
lleida  81
lugo  50
madrid  4875
malaga  437
melilla  2
murcia  291
navarra  87
orense  47
palmas  275
pontevedra  215
rioja  53
salamanca  90
sevilla  743
soria  5
tenerife  224
toledo  233
valencia  944
zaragoza  344
