login; location; place; followers; contributions; stars; user_stars; language
crguezl;La Laguna. Tenerife;Tenerife;100;1243;51;108;Ruby
Rayco;Canary Islands, Tenerife, Spain;Canarias;8;1122;0;0;JavaScript
ancorgs;Gran Canaria;Las Palmas;9;960;0;3;Ruby
axelhzf;Tenerife, Spain;Tenerife;23;670;53;118;JavaScript
pronebird;Canary Islands;Canarias;32;576;175;420;Objective-C
alu0100764666;Santa Cruz de Tenerife;Tenerife;1;407;0;0;Java
jonhattan;Canary Islands;Canarias;19;366;8;12;Puppet
Al3XKOoL;Tenerife. Canary islands. Spain;Canarias;0;331;5;0;Makefile
alu0100696691;Santa cruz de Tenerife, Islas Canarias, España;Canarias;11;322;2;0;Ruby
marcin-wosinek;Las Palmas de GC, Spain;Las Palmas;7;307;4;59;JavaScript
YaroSpace;Tenerife;Tenerife;7;292;1;10;Ruby
claunia;Las Palmas de Gran Canaria;Las Palmas;4;283;9;7;C#
stevejpurves;Santa Cruz de Tenerife, Spain;Tenerife;10;209;2;108;JavaScript
Suui;Las Palmas de Gran Canaria;Las Palmas;6;204;1;0;Java
VictorPereraTarajano;Las Palmas de Gran Canaria;Las Palmas;3;193;0;0;Java and CSS
imobach;Las Palmas de Gran Canaria (Canarias, Spain);Canarias;12;192;1;17;Ruby
cabul;Las Palmas;Las Palmas;3;177;4;2;JavaScript
AlejandroPerezMartin;Canary Islands, Spain;Canarias;11;173;5;9;JavaScript
k1000;Spain Tenerife;Tenerife;5;160;65;157;Python
pacomf;Santa Úrsula, Tenerife, Canary Islands;Canarias;4;159;1;4;Java
AyoPrez;Las Palmas;Las Palmas;1;157;0;4;Java
aplatanado;Tenerife, Spain;Tenerife;40;152;37;47;Python
NumberDance;Tenerife, Spain;Tenerife;0;130;0;0;Java
alessandro-martin;Gran Canaria, Spain;Las Palmas;3;129;3;36;Objective-C
ayozebarrera;Gran Canaria, Spain;Las Palmas;10;129;7;326;JavaScript
vrruiz;Canary Islands, Spain;Canarias;20;127;48;9;Python
dmitry;Tenerife, Canary Islands, Spain;Canarias;40;124;117;3.7k;Ruby
R3v1L;Spain, Canary Islands;Canarias;2;117;1;16;Python
marioblas;Gran Canaria, Canary Islands, Spain;Canarias;5;116;3;319;JavaScript
