login; location; place; followers; contributions; stars; user_stars; language
DaniCea;Barcelona;Barcelona;0;1;0;0;CSS
egalles79;Barcelona;Barcelona;0;1;0;0;CSS
matiasBravo;Barcelona;Barcelona;0;1;0;3;ApacheConf
llos;Barcelona;Barcelona;0;1;0;6;
jsencianes;Barcelona;Barcelona;0;1;1;9;CSS
enzo77;barcelona;Barcelona;0;1;0;0;
afortuny;Barcelona;Barcelona;0;1;0;0;
anglesjo;Barcelona;Barcelona;0;1;0;1;Swift and Ruby
richbarton;Barcelona;Barcelona;1;1;1;11;JavaScript
MarcRamos;Barcelona, Cat;Barcelona;1;1;0;1;C
jvsalatino;Capellades - Barcelona - Spain;Barcelona;1;1;0;0;Processing
luismasserral;Hostalric, Girona, Spain;Gerona;0;1;0;1;
futurepastori;Colomers, Girona, CAT;Gerona;1;1;0;1;HTML
