login; location; place; followers; contributions; stars; user_stars; language
iflorit;Barcelona;Barcelona;1;2;0;0;
moretty;Barcelona;Barcelona;1;2;0;1;
BarcelonaCodingSchool;Barcelona, Spain;Barcelona;0;2;0;0;
drempapis;Barcelona;Barcelona;0;2;0;0;Java
Huguet57;Barcelona, Spain;Barcelona;0;2;0;1;Batchfile
Davidhidalgo;Barcelona, Spain;Barcelona;11;2;1;172;JavaScript
josepsitjar;girona;Gerona;1;2;0;0;Python
AlbertMonty;Girona;Gerona;1;2;0;1;JavaScript
jcomas;Salt, Girona, Spain;Gerona;1;2;0;5;Batchfile
jordicasadevall;Girona;Gerona;0;2;0;3;JavaScript and PHP
xus;Girona;Gerona;5;2;3;39;JavaScript
buenoudg;Girona;Gerona;0;2;0;0;JavaScript
kekkyojin;Esparreguera, Barcelona;Barcelona;0;2;0;0;Java and PHP
clickedu-manager;Barcelona;Barcelona;0;2;0;0;
calshox;Barcelona - México DF;Barcelona;0;2;0;4;PHP
duardito;barcelona;Barcelona;0;2;2;2;Java
mmgg90;Barcelona;Barcelona;1;2;0;0;R
manukleart;Barcelona,Catalunya;Barcelona;0;2;0;0;
jvatec;Barcelona;Barcelona;0;2;0;0;CSS and HTML
j0xFF;Barcelona;Barcelona;1;2;2;2;HTML
ManfredBo;Barcelona, Spain;Barcelona;0;2;0;0;CSS
zedee;Barcelona;Barcelona;0;2;0;4;CSS
Tarydium;Barcelona;Barcelona;0;2;0;1;HTML
miquelbarba;Barcelona, Spain;Barcelona;2;2;2;5;Clojure
ivannkf;Barcelona;Barcelona;2;2;0;0;Java
jariiia;Barcelona, Spain;Barcelona;2;2;0;0;Python
polmrtn;Barcelona;Barcelona;7;2;0;4;JavaScript
carlosbort;Barcelona;Barcelona;6;2;0;11;HTML and R
Gatonevermind;Barcelona, Spain;Barcelona;6;2;2;4;C
MarcSalvat;Barcelona;Barcelona;2;2;1;137;Python
Optimiza;Barcelona, Spain;Barcelona;3;2;0;5;
emanzanoaxa;Barcelona;Barcelona;1;2;3;10;Java
rdomenechEpages;Barcelona;Barcelona;4;2;0;0;HTML
zyxan;Barcelona;Barcelona;3;2;0;3;CSS
xruiz;Barcelona;Barcelona;3;2;0;6;JavaScript
bcndynamics;Barcelona;Barcelona;2;2;5;2;OpenSCAD
alfonsofonso;barcelona;Barcelona;7;2;2;48;CSS
DaLN;Barcelona, Spain;Barcelona;3;2;1;12;Java
MiquelT;Barcelona;Barcelona;2;2;0;0;Python
sp-ronny-lopez;Barcelona, Spain;Barcelona;2;2;0;128;Go
jesusdiez;Barcelona;Barcelona;5;2;4;19;PHP
jgongo;Barcelona;Barcelona;4;2;0;231;
bxdpxndx;Barcelona;Barcelona;1;2;0;1;C++
jordi-luir;Barcelona;Barcelona;1;2;0;0;R and Swift
javiBertos;Barcelona, Spain;Barcelona;4;2;1;0;CSS
paxpuig;Barcelona;Barcelona;2;2;0;0;
fnavalca;Barcelona;Barcelona;2;2;0;9;ApacheConf
Dalmau;Spain,Barcelona;Barcelona;1;2;1;4;CSS
adeharo9;Barcelona;Barcelona;1;2;1;0;Matlab
mvazquezs;Barcelona;Barcelona;1;2;0;1;
BioStatsLleida;Biomedical Research Institute of Lleida;Lleida;0;2;0;0;
AlbertMorenoDEV;Solsona, Lleida;Lleida;5;2;1;48;Objective-C
cristinaramon;Barcelona;Barcelona;0;2;0;0;CSS
omykuji;Barcelona;Barcelona;3;2;0;22;Shell
territoriocreativo;Madrid, Barcelona, Bogotá.;Barcelona;0;2;0;1;JavaScript and Ruby
adellibovi;Barcelona;Barcelona;4;2;0;27;JavaScript
vishalmehta1991;Barcelona;Barcelona;3;2;0;0;
RafalEsp;Barcelona, Spain;Barcelona;0;2;0;0;PHP
lgarciaes;Barcelona;Barcelona;0;2;0;0;PHP
xavierrosero;BARCELONA, SPAIN;Barcelona;0;2;0;2;HTML
pineda89;Barcelona;Barcelona;0;2;5;4;Java
alexmarles;Barcelona;Barcelona;12;2;9;49;JavaScript
jacanales;Barcelona;Barcelona;15;2;1;107;JavaScript
vguardiola;Barcelona;Barcelona;17;2;1;12;PHP
angelcustodio;Barcelona;Barcelona;18;2;2;90;JavaScript and CoffeeScript
eltallerdiminuto;Sant Cugat del Vallès, Barcelona, Spain.;Barcelona;4;2;3;0;Arduino
joantolos;Barcelona;Barcelona;4;2;0;0;Java
piscue;terrassa, barcelona, spain;Barcelona;2;2;6;17;
pixel-perfect-boy;Barcelona;Barcelona;3;2;0;2;ApacheConf
aandna;Barcelona;Barcelona;2;2;0;0;ApacheConf
deepname;Barcelona;Barcelona;0;2;1;4;JavaScript
vmucuge;Barcelona, Spain;Barcelona;2;2;2;0;Shell
borjarossell;Barcelona, Spain;Barcelona;2;2;0;0;C
Caradras;Barcelona, Spain;Barcelona;0;2;1;1;
skalad;Barcelona;Barcelona;2;2;5;4;Shell
alexmoleiro;Barcelona;Barcelona;0;2;0;10;HTML
acoll23;Barcelona;Barcelona;0;2;0;0;CSS
iamjalal;Barcelona;Barcelona;1;2;0;0;Java
jtorres;Barcelona, Spain;Barcelona;0;2;1;3;C#
alvarovdt;Barcelona, Spain;Barcelona;0;2;0;0;CSS
Z-13;Barcelona;Barcelona;0;2;0;21;
Marc-Morata-Fite;Barcelona;Barcelona;0;2;6;12;Shell
katan;Sant Cugat del Vallès, Barcelona, Spain;Barcelona;0;2;7;6;PHP
alexmartinezraona;Barcelona, Spain;Barcelona;0;2;0;0;C#
luis-esteve;Barcelona;Barcelona;1;2;0;2;Ada
raulmpad;Barcelona;Barcelona;1;2;4;5;Emacs Lisp
ravens;Barcelona;Barcelona;1;2;0;12;
galindus;Barcelona;Barcelona;1;2;0;1;JavaScript
jorgee90;Barcelona;Barcelona;0;2;0;0;Swift
Potranco;Barcelona;Barcelona;0;2;0;1;JavaScript
sounakdey;Barcelona, Spain;Barcelona;0;2;0;0;HTML and Matlab
ifendif2004;Barcelona;Barcelona;0;2;1;0;Java
anaflasker;Barcelona, Spain;Barcelona;0;2;0;1;
FiRiN59;Barcelona;Barcelona;1;2;0;13;Objective-C
fradandria;Barcelona;Barcelona;1;2;4;11;
cestarlich;Tortosa,Tarragona,Spain;Tarragona;0;2;0;4;CSS
alextgn63;Tarragona, Spain;Tarragona;0;2;0;0;Python
