login; location; place; followers; contributions; stars; user_stars; language
danielfernandez;Spain;España;46;1131;3;27;Java
kikito;Madrid, Spain;Madrid;295;1129;2244;179;Lua
mifl;Oviedo, Spain;Asturias;33;1126;16;13;Shell
Madh93;Tenerife, Spain;Tenerife;6;1125;5;41;C++
shoghicp;Zaragoza;Zaragoza;227;1124;246;73;PHP
neo22s;Barcelona;Barcelona;24;1122;10;254;PHP
Rayco;Canary Islands, Tenerife, Spain;Canarias;8;1122;0;0;JavaScript
toniher;Barcelona, Catalonia;Barcelona;10;1121;5;4;JavaScript
albfan;Gijón, Spain;Asturias;4;1120;184;12;Shell
jleyva;Spain;España;47;1113;142;27;PHP
AlbertoFuente;Spain;España;10;1102;1;53;JavaScript
blaiprat;London & Barcelona;Barcelona;12;1097;79;58;JavaScript
miguel0afd;Madrid, Spain;Madrid;7;1097;24;65;Java
alexandernst;Valladolid, Spain;Valladolid;31;1094;58;59;JavaScript
fdansv;Madrid / Santiago de Compostela;Coruña;18;1091;19;18;Java
dsaenztagarro;Madrid;Madrid;7;1090;2;244;Ruby
joakin;Alicante, Spain;Alicante;18;1077;75;147;JavaScript
pditommaso;Barcelona, Spain;Barcelona;27;1074;71;523;Java
piranna;Alcorcón, Madrid, Spain;Madrid;89;1074;45;1.3k;JavaScript
dialelo;Barcelona;Barcelona;171;1073;520;1.2k;Python
turran;Spain;España;3;1061;14;21;Shell
jcaden;Madrid;Madrid;11;1056;4;4;C
PabloCastellano;Málaga, Spain;Málaga;38;1054;52;205;Python
MaximeHeckel;Strasbourg, France / Madrid, Spain;Madrid;32;1051;50;254;JavaScript
epgarcia;Madrid;Madrid;13;1044;7;7;Java
RotaruDan;Madrid (Spain);Madrid;17;1044;6;41;C++
sneridagh;Barcelona;Barcelona;14;1043;59;13;Python
Razican;Bilbao, Spain;Bilbao;24;1038;11;32;Java
robertoDiaz;Madrid - Gijón;Asturias;2;1030;0;2;JavaScript
aarranz;Madrid, Spain;Madrid;11;1018;3;17;JavaScript
