login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
Santos-m;Tarragona,Catalunya,España,UE.;0;3;0;1;0
mtrullasp;Manresa, Catalonia;2;2;0;1;0
jorditudela;Igualada, Catalonia, Spain;1;2;0;1;0
toniguix;Torroella de Montgrí - Catalunya;0;2;0;1;0
eltetedb;Catalonia;0;2;1;1;0
darad;Barcelona, Catalonia, Spain;3;2;0;1;0
davidfdzp;Barcelona, Catalunya;0;2;0;1;0
manukleart;Barcelona,Catalunya;0;2;0;1;0
tetio;Vilanova i la Geltrú, Catalunya, Europe;1;1;4;1;0
kylebofh;Catalonia;1;1;0;1;0
radioelf;Torroella de Montgri, Girona, Catalonia, Spain;0;1;0;1;0
jqueralt;Sant Andreu del Palomar, Catalunya;1;1;4;1;0
LouRectoret;Argentona ( Catalonia ) & Scotland;0;1;0;1;0
JeanBanane;French Catalonia;0;1;0;1;0
jorcons;Catalonia;0;1;0;1;0
klaudi;sant sadurni d'anoia, Catalunya;0;1;0;1;0
angeldm;Catalonia;0;1;9;1;0
agomezalvic;Centelles, Catalonia, Spain;0;1;0;1;0
sitges;Sitges, Catalunya, Spain;0;1;0;1;0
MarcQueralt;Penedès - Catalunya;2;1;9;1;0
josornoc;Barcelona, Catalunya;3;1;0;1;0
odivorra;Barcelona, Catalonia;1;1;0;1;0
vicksick;Catalonia;0;1;0;1;0
admanmedia;Barcelona, Catalonia;0;1;0;1;0
rossinimv;City Barcelona, BCN, Catalonia;0;1;0;1;0
kuduka;Catalonia;0;1;0;1;0
sfoix;Barcelona, Catalunya;3;1;1;1;0
xmonfort;Sant Just Desvern, Barcelona (Catalonia);0;1;2;1;0
codesse;Catalunya;0;1;0;1;0
ferniwob;Catalonia;1;1;1;1;0
