login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
runi22;Ávila (Spain);0;7;1;1;0
manumuve;Ávila;1;3;0;1;0
mariomka;Ávila (Spain);1;2;2;1;0
jmperezra;Ávila;1;2;0;1;0
