login; location; followers; contributions; contributionsStreak; contributionsCurrentStreak
luismagr;Jerez de la Frontera, Cádiz, Andalucía, España;3;271;10;0
hopsor;Jerez de la Frontera, Cádiz, ES;4;152;8;0
ceritium;Jerez;22;86;4;0
vengador;Jerez de la Frontera;23;9;2;0
eurodev;Jerez de la Frontera;20;4;1;0
drwaky;Madrid - Jerez de la Frontera;5;4;1;0
jacintocapote;jerez de la frontera;13;1;1;0
IvanD3;Jerez de la frontera;4;1;1;0
