login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
pepegar;Madrid, Spain;13;129;14;4;0
inercia;Barcelona, Spain;8;128;14;7;0
isorna;Madrid, Spain;8;127;4;6;0
PabloCastellano;Spain;30;127;36;3;0
hugochinchilla;Palma, Spain;20;126;29;4;0
gregoriorobles;Madrid (Spain);18;126;0;5;0
killabytenow;Spain;15;125;12;4;0
xerpi;Catalonia (Spain);13;125;46;4;2
asiermarques;Barakaldo, Vizcaya, España;62;124;46;4;0
manolovn;Murcia, Spain;21;123;8;4;0
aplatanado;Tenerife, Spain;31;122;33;4;0
Skyrpex;Barcelona, España;24;122;19;5;0
nandosola;Madrid, Spain;14;122;11;5;0
nando;Madrid, Spain;39;121;59;6;0
Lascorbe;Spain;60;121;495;5;0
adrianlzt;España;7;119;6;3;0
Arasthel;Almería, España;41;119;458;3;0
fillito;Madrid , Spain;39;118;73;3;0
raysan5;Spain;27;117;69;3;0
fmvilas;Badajoz, Spain;7;117;27;3;2
kevinansfield;Valencia, Spain;10;117;6;5;0
danguita;Ciudad Real, Spain;20;115;12;2;0
squeaky-pl;Spain;7;114;76;8;0
oriolgual;Barcelona, Spain;70;114;13;5;0
danieltardon;Madrid (Spain);8;113;10;5;0
michada;Ourense, Spain;9;112;4;5;0
jjelosua;Vigo, Spain;16;111;5;3;0
Nerian;Seville, Spain;25;110;849;3;0
rlbisbe;Spain;10;108;14;4;0
fsouto;Vigo, Spain;10;106;18;5;0
cerberillo;Sevilla, Spain;9;106;26;3;0
pablojimeno;Zaragoza, Spain;25;104;25;4;0
aruiz;Las Palmas de Gran Canaria, Spain;17;104;32;4;0
jvrsantacruz;Madrid, Spain;13;103;31;3;0
samlown;Madrid, Spain;34;102;167;3;0
sgmonda;Madrid (Spain);7;102;125;3;0
javierburongarcia;Cordoba, Spain;20;102;7;4;0
nobuti;Spain;12;102;30;6;0
alexdeleon;Madrid, Spain;8;100;14;3;0
OrdinaryMagician;Galicia, Spain;79;100;58;4;0
Abrahanfer;Cádiz(Spain);9;99;3;5;0
ainformatico;Barcelona, Spain;21;98;80;2;0
fernand0;Huesca-Zaragoza, Spain;17;98;5;3;0
