login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
cleventy;A Coruña, Spain;0;1;0;1;0
pedrogarciafranco;A Coruña;0;1;0;1;0
rpet;Santiago de Compostela;2;1;0;1;0
kmikodev;Coruña;0;1;0;1;0
sandboxwebs;La Coruña;0;1;0;1;0
Lancelotarthus;A coruña, España;0;1;0;1;0
jlobeiras;A Coruña, Spain;0;1;0;1;0
misterpulpo;A Coruña;0;1;1;1;0
brebaje;Santiago de Compostela, Spain;0;1;0;1;0
vrdominguez;Santiago de Compostela;4;1;7;1;0
staticboards;Malpica de Bergantiños, Coruña;12;1;2;1;0
fbermudez;A Coruña;0;1;0;1;0
soutocorral;A Coruña Spain;0;1;0;1;0
