user;province;contributions;stars;followers
etrepat; Lleida;146;583;14
chirauki; Barcelona;146;2;2
son-link; Madrid;146;36;15
borjaburgos; Madrid;146;3;15
dokkillo; Madrid;146;5;1
fmvilas; Badajoz;146;27;7
twinone; Barcelona;146;29;14
ebarbeito; Alicante;146;0;3
karmab; Madrid;146;19;14
jlaso; Valencia;145;29;12
rveciana; Barcelona;145;23;14
mmasriera; Barcelona;145;1;9
dacioleal; Cádiz;145;0;5
alemuro; Barcelona;145;0;1
martibosch; Barcelona;145;0;1
pedroj; Sevilla;144;12;17
mafraba; Sevilla;144;1;0
gonzaloruizdevilla; Madrid;144;93;51
albert-gonzalez; Barcelona;144;7;4
jtorresfabra; Valencia;144;1;1
rmcantin; Zaragoza;144;10;1
ablanco; Sevilla;144;143;22
m1ndgap; Valencia;144;0;0
bertuccio; Madrid;144;0;2
alejoar; Madrid;143;0;2
migonzalvar; Pontevedra;143;32;18
gdeignacio; Baleares;143;0;1
joselufo; Barcelona;143;2;2
sergiogvz; Granada;143;0;3
josepjaume; Barcelona;143;23;65
berarma; Valencia;143;4;1
adelatorrefoss; Madrid;143;5;24
necavit; Barcelona;142;1;7
Pablo-Casia; Asturias;142;0;2
Hanto; Valencia;142;2;0
RainCT; Barcelona;142;7;10
MiguelHervias; Barcelona;142;1;7
javipacheco; Cádiz;141;92;112
dcasasmol; Cádiz;141;6;1
agonbar; Ourense;140;0;1
balder-otium360; Madrid;140;2;2
JMailloH; Granada;140;0;5
DarioIriberri; Baleares;139;2;0
gtorodelvalle; Madrid;139;9;5
kbsali; Barcelona;139;203;29
jorgeyp; Asturias;137;3;3
raulmarcosl; Madrid;137;3;15
davidor; Barcelona;136;24;4
davidlallana; Bilbao;136;0;11
mariomac; Barcelona;136;5;2
sarjona; Barcelona;136;0;5
demimismo; Madrid;136;21;58
ant30; Madrid;136;17;10
hectorlf; Madrid;135;5;5
marialeyva; Asturias;135;0;3
alvaromm; Granada;135;0;3
spaniakos; Málaga;135;2;3
Pablo-Rodriguez; Pontevedra;135;0;0
isejaa; Tenerife;135;0;0
almudenaris; Madrid;134;1;3
antoniovm; Almería;134;1;5
Tedezed; Sevilla;134;0;12
igalarzab; Madrid;134;21;29
kidd; Barcelona;134;63;64
edgarzamora; Tarragona;133;0;2
moritz-wundke; Baleares;133;4;7
jiahaoliuliu; Madrid;133;48;13
dongrego89; Córdoba;133;0;6
utahraul; Madrid;133;0;1
bichotll; Barcelona;132;114;10
gexplorer; Bilbao;132;1;1
joedicastro; Coruña;132;530;71
DigitalLeaves; Madrid;132;64;6
burasu; Cádiz;132;1;1
Alexrs95; Madrid;132;452;53
Oscarbralo; Madrid;131;27;58
pau-minoves; Barcelona;131;2;15
gcq; Barcelona;131;10;2
RomanRobotnik; Valencia;131;13;1
aramirez-es; Barcelona;131;21;30
Fernando-Oliva; Madrid;131;1;3
peripecio; Madrid;130;0;3
kpacha; Barcelona;130;13;11
John-Lluch; Barcelona;130;364;94
carlosga; Pontevedra;130;0;3
guillermonp; Barcelona;130;1;1
AlbertServen; Barcelona;130;4;5
davidllanos22; Barcelona;129;0;2
pepegar; Madrid;129;14;13
JavideBaza; Granada;129;2;7
inercia; Barcelona;129;16;8
consorciobertiz; Navarra;129;1;0
marhs; Sevilla;129;4;2
javiervidal; Madrid;129;8;11
jaor; Barcelona;129;304;38
alessandro-martin; Las Palmas;129;2;3
jgoizueta; Navarra;128;67;3
amorag; Granada;128;0;2
ferferfer; Madrid;128;2;12
beeva-marianmoldovan; Madrid;128;2;2
nando; Madrid;127;59;39
scyros; Madrid;127;3;6
pepe84; Barcelona;127;0;12
ignlg; Pontevedra;127;4;3
smashkun; Madrid;127;0;3
cerberillo; Sevilla;127;26;9
gtrias; Barcelona;127;1;3
albertoqa; Granada;127;0;1
solilokiam; Barcelona;127;6;13
danirod; Madrid;127;2;16
vpascual; Barcelona;127;2;5
Montagon; Cádiz;127;9;13
michogar; Pontevedra;126;6;14
guillermochica; Granada;126;1;3
AlbertoCejas; Cádiz;126;6;5
unleashed; Barcelona;126;32;3
ximomompo; Valencia;126;0;1
viric; Gerona;126;9;12
albertbellonch; Barcelona;126;130;32
fariasweb; Barcelona;126;6;8
adriangibanelbtactic; Lleida;126;9;3
LuqueDaniel; Córdoba;125;23;3
pablovg2; Sevilla;125;3;6
santiagopuerta; Granada;124;5;7
arkeros; Barcelona;124;3;3
josemlp91; Granada;124;3;5
davidvilla; Ciudad Real;123;11;7
manolovn; Murcia;123;8;21
Arasthel; Almería;123;504;43
domingoesteban; Madrid;123;0;2
naoisegolden; Barcelona;123;16;24
danguita; Ciudad Real;123;12;20
manumolina; Barcelona;122;0;1
semrh; Tenerife;122;2;5
ecarrillo88; Valencia;122;0;0
ValHue; Valencia;122;0;0
carthach; Barcelona;122;1;1
alexgg-developer; Barcelona;122;0;3
cicloon; Madrid;121;5;17
josepsitjar; Gerona;121;0;0
jvilaplana; Lleida;121;4;1
felmoltor; Jaén;121;25;15
MarioPerezEsteso; Madrid;121;0;33
khiven; Madrid;121;0;1
RaulKite; Murcia;120;5;3
joscani; Córdoba;120;1;3
fovtran; Córdoba;120;0;0
risdevs; Barcelona;120;2;2
acharluk; Granada;120;0;4
SanabriaRusso; Barcelona;119;3;4
jbeficent; Barcelona;119;0;2
fernand0; Huesca;119;6;19
robertomorati; Álava;119;0;0
timbergus; Madrid;119;2;4
eskerda; Barcelona;119;104;42
nicola51980; Barcelona;119;3;3
unsegnor; Granada;119;1;2
xurxof; Pontevedra;118;1;1
landtax; Barcelona;118;5;7
nosolosw; Coruña;118;4;16
kiike; Barcelona;118;2;3
adanto; Valencia;118;0;0
jjelosua; Pontevedra;118;5;17
zombites; Sevilla;118;0;0
javimb; Almería;118;13;18
renatolrr; Granada;118;1;11
shkliciouz; Valladolid;117;0;1
knullknave; Zaragoza;117;1;1
maurogs; Madrid;117;1;5
juanluisrp; Sevilla;117;10;28
drodri; Madrid;117;14;13
mgidney; Cádiz;116;1;0
stripTM; Madrid;116;2;8
jmoraleda; Barcelona;116;1;3
serginator; Madrid;116;21;19
ojoven; Donostia;116;8;7
michada; Ourense;116;0;9
luisddm; Salamanca;116;0;2
Hectormm; Alicante;116;0;5
alexdeleon; Madrid;116;14;8
mezod; Barcelona;115;6;5
oriolgual; Barcelona;115;13;70
alvaropinot; Madrid;115;2;3
rmaqueda; Madrid;115;2;17
miguelpedregosa; Granada;115;5;0
albertjuhe; Barcelona;115;32;3
theodorton; Málaga;115;37;11
pchiwan; Barcelona;115;4;5
tuxskar; Sevilla;115;20;30
enpi; Granada;114;0;3
unaguil; Bilbao;114;9;16
magomar; Valencia;114;2;1
hcosta; Barcelona;114;11;8
elreplicante; Madrid;114;8;36
amardomingo; Madrid;113;5;6
SuperJMN; Madrid;113;12;5
albertoalcolea; Zaragoza;113;10;5
natzar; Barcelona;113;7;9
danieltardon; Madrid;113;0;8
fgimenez; Madrid;112;26;2
apuigsech; Barcelona;112;9;12
mrcasals; Barcelona;112;39;36
diesire; Asturias;112;10;2
mariodelvalle; Valladolid;111;62;9
jaimecp89; Sevilla;111;2;1
apuratepp; Barcelona;111;16;18
erenyagdiran; Barcelona;111;11;71
jabiinfante; Bilbao;111;0;4
Imanolea; Bilbao;111;0;4
p3drosola; Barcelona;110;178;28
jorgeatgu; Zaragoza;110;30;10
kahun; Madrid;110;8;58
voiser; Madrid;110;3;15
PromGames; Madrid;110;6;2
xbelanch; Barcelona;110;18;6
hanbzu; Bilbao;110;2;2
rgcmme; Madrid;110;0;3
nhpatt; Madrid;110;31;23
daviderill; Barcelona;109;1;4
carlosescri; Madrid;109;4;3
jorrete; Valencia;109;1;1
silt99; Granada;109;0;0
kesar; Baleares;109;18;17
i32ropie; Córdoba;109;0;4
erseco; Granada;108;4;22
jacegu; Madrid;108;28;32
pelayoarbues; Madrid;108;0;1
sl1pkn07; Burgos;108;0;1
jesusr; Jaén;108;0;5
jdevesa; Barcelona;108;43;17
DaniLebredo; Asturias;107;0;4
bmoix; Barcelona;107;3;5
badshark; Barcelona;107;7;4
palas; Lugo;107;0;3
xusCrus; Madrid;106;0;7
yonatan24891; Granada;106;1;0
Aglezabad; Madrid;106;2;6
dgsuarez; Asturias;106;17;9
spaceisstrange; Cáceres;106;0;1
dhuertas; Barcelona;106;21;6
fsouto; Pontevedra;106;18;11
dsager; Barcelona;106;1;7
areikusu; Valencia;105;0;9
j2sg; Ciudad Real;105;6;2
ajimix; Barcelona;105;98;10
tak30; Coruña;105;0;2
jorgemarcial; Madrid;105;0;4
nandana; Madrid;104;3;6
rickyah; Barcelona;104;73;7
DaniSagan; Asturias;104;3;0
Pabloblicuo; Madrid;104;1;1
ndrs92; Ourense;104;0;14
sernav; Madrid;104;0;1
jresinas; Sevilla;104;2;2
michelgoni; Madrid;104;0;3
osagarra; Barcelona;104;3;5
abadabanades; Madrid;103;0;13
xpadro; Barcelona;103;53;25
theUniC; Barcelona;103;19;62
bpvg; Madrid;103;0;1
jvrsantacruz; Madrid;103;31;13
rafaduran; Barcelona;103;30;6
FarK; Sevilla;103;16;4
jorgecasar; Madrid;102;39;137
NumberDance; Tenerife;102;0;0
uorbe001; Bilbao;102;15;7
tristanguigue; Madrid;102;15;2
varomorf; Asturias;102;2;3
jagarciavi; Salamanca;102;0;2
nakome; Coruña;102;3;8
mefernandez; Valencia;102;21;7
Atinux; Barcelona;102;353;65
miguelfg; Madrid;102;0;4
jig; Barcelona;102;9;7
ainformatico; Barcelona;102;81;22
agile-jordi; Barcelona;101;5;7
Arau; Barcelona;101;4;13
albertomoreno; Granada;101;3;3
Cubel89; Valencia;101;0;1
Crixo24; Granada;101;0;4
philipp-germann; Barcelona;100;0;1
jneight; Granada;100;48;20
kktuax; Cantabria;100;11;1
arctarus; Madrid;100;5;25
Luisangonzalez; Toledo;100;1;3
juanjofg; Asturias;100;1;2
Abrahanfer; Cádiz;99;3;9
pepeiborra; Valencia;99;72;22
rogergros; Barcelona;99;0;4
cavasanchez; Madrid;99;1;4
darad; Barcelona;99;0;3
Bastien-; Barcelona;98;4;3
hcarreras; Barcelona;98;3;7
ariera; Madrid;98;29;9
jesus-sayar; Madrid;98;7;25
minayaserrano; Asturias;98;3;3
GonzaloAlvarez; Madrid;98;7;2
argordmel; Cantabria;98;8;7
bthemad; Barcelona;98;4;4
IvanJMembrilla; Almería;97;0;0
jjballano; Madrid;97;5;14
belen-albeza; Barcelona;97;50;42
chopsuey5000; Barcelona;97;1;2
miquelruiz; Barcelona;97;22;10
txemagon; Madrid;97;14;41
mcamara; Barcelona;97;385;12
mcornella; Barcelona;97;1;6
nandosola; Madrid;97;11;14
juampy72; Madrid;97;118;64
KashaMalaga; Málaga;97;45;4
alv15; Jaén;96;0;4
igormilla; Barcelona;96;0;8
sgmonda; Madrid;96;127;8
BraisGabin; Barcelona;96;1;6
jemromerol; Granada;96;2;0
davidduranmartos; Sevilla;96;3;2
jorgemanrubia; Madrid;96;334;14
paucc; Madrid;96;0;12
asiermarques; Bilbao;95;47;62
Skyrpex; Barcelona;95;21;24
pral2a; Barcelona;95;1;10
GerardSoleCa; Barcelona;95;9;10
LuisGonzalez2014; Granada;94;1;1
pedropena; Jaén;94;12;2
pykiss; Asturias;94;20;2
edupg1; Granada;94;0;3
aurelian; Barcelona;94;224;21
sotogarcia; Pontevedra;94;4;6
sabatesduran; Barcelona;93;0;7
jansensan; Barcelona;93;14;6
CarlosButron; Murcia;93;16;15
agiraud; Madrid;93;1;2
lorenzoplanas; Huesca;93;23;20
GrenderG; Valencia;93;0;5
michaelsalisbury; Asturias;92;2;0
eruiz; Valencia;92;0;7
007lva; Valencia;92;4;8
gonya707; Madrid;92;7;2
jcollado; Madrid;92;1;6
MrBrownser; Barcelona;92;0;9
fernandezcuesta; Cantabria;92;0;0
jalcaldea; Madrid;92;8;5
cgarciabarrera; Madrid;91;8;1
javray; Bilbao;91;5;1
omarllorens; Alicante;91;0;2
jesusjavierdediego; Zaragoza;91;0;5
davidgf; Coruña;91;1;1
MarcosJF; Granada;91;0;0
VictorCoronas; Granada;90;0;2
Echeverrias; Madrid;90;0;2
814ckc0d3; Zaragoza;90;1;0
manumorante; Granada;90;1;8
leolara; Málaga;90;1;24
bxdpxndx; Barcelona;90;0;1
AlexS12; Madrid;90;0;4
ramingar; Valencia;90;0;1
nochemax; Cádiz;90;2;1
jtome; Madrid;90;0;1
endSly; Bilbao;89;216;18
islomar; Madrid;89;3;7
polimediaupv; Valencia;89;28;10
emoronayuso; Sevilla;89;0;5
SamLeach; Barcelona;89;0;4
diegotrap; Madrid;89;5;2
LluisRamon; Barcelona;89;32;11
clopez; Coruña;88;19;3
lruizr; Madrid;88;0;6
linuxesdios; Valladolid;88;2;4
aanton; Madrid;88;1;2
jordimarinvalle; Barcelona;88;7;9
nachosalvador; Valencia;88;0;1
zareone; Barcelona;88;1;9
elhombretecla; Madrid;88;5;14
adrycerdeiro; Coruña;88;1;2
arkadoel; Valladolid;88;7;2
txapelgorri; Bilbao;88;0;2
melchor629; Málaga;87;8;2
eduardocasas; Madrid;87;23;9
jupegarnica; Valencia;87;6;3
jaumemoral; Barcelona;87;1;2
polimorfico; Las Palmas;87;4;13
planas; Barcelona;87;11;6
aruiz; Las Palmas;87;32;19
divadcr; Granada;87;0;5
asis; Coruña;87;11;12
alvaropg; Madrid;87;2;2
PaytonZ; Madrid;87;0;4
lemonzi; Barcelona;87;10;11
GaDaXaRa; Madrid;87;6;13
eldelacajita; Madrid;87;0;3
msanchezmora; Córdoba;87;0;6
omar7r; Lugo;87;0;2
FelipMarti; Barcelona;86;1;1
madcato; Zaragoza;86;0;1
davesnx; Barcelona;86;1;7
alejandronb; Sevilla;86;0;14
jlupox; Barcelona;86;0;1
dgilperez; Madrid;86;33;11
RiazaValverde; Albacete;86;0;1
hds; Barcelona;86;8;8
dvalcarce; Coruña;86;5;12
samlown; Madrid;86;169;34
Senen; Baleares;85;0;0
antjimar; Madrid;85;2;8
AntonioTejero; Córdoba;85;0;0
rmruano; Madrid;85;3;3
berganza; Bilbao;85;110;86
pabloarias; Pontevedra;85;4;6
jjuarez; Madrid;85;22;16
ethervoid; Madrid;85;8;15
estebanpua; Málaga;84;0;1
ramako; Granada;84;0;2
pedrobenedicte; Barcelona;84;1;2
sousamaf; Las Palmas;84;7;13
javierburongarcia; Córdoba;84;7;20
martinezjavier; Barcelona;84;202;51
carltorres; Granada;84;0;0
vidaltoboso; Cáceres;84;0;1
edgarshurtado; Valencia;84;1;8
DaniAV; León;84;0;0
jtorrents; Barcelona;83;2;4
dcordero; Madrid;83;10;4
skydivematy; Las Palmas;83;2;1
richq; Madrid;83;165;5
pjmartorell; Barcelona;83;9;6
JuanjoSalvador; Almería;83;4;6
penicolas; Valencia;83;1;1
jequeto; Madrid;83;0;3
diegobechi; Córdoba;83;0;0
ADLR-es; Valladolid;83;0;1
stevejpurves; Tenerife;83;1;10
castrinho8; Coruña;82;1;7
tamarinda; Barcelona;82;0;1
jorgeSV; Lugo;82;0;4
PauCodina; Barcelona;82;0;1
pacastillo; Granada;82;1;4
naulacambra; Barcelona;82;1;4
rubenjeronimo; Madrid;82;0;8
carlosbuenosvinos; Barcelona;82;153;88
Dor3nz; Barcelona;82;1;15
jmhdez; Madrid;82;68;38
themakerbb; Granada;82;3;1
javiacei; Madrid;81;80;34
PBarri; Sevilla;81;0;1
viktorKhan; Zaragoza;81;0;1
jaumesegarra; Valencia;81;1;4
Souler; Madrid;81;10;12
acrespillo; Barcelona;81;0;2
DazLamas; Madrid;81;2;17
rogama; Madrid;81;0;2
csuarez; Cáceres;80;34;22
adchsm; Barcelona;80;1614;16
jalucenyo; Tarragona;80;23;13
theist; Madrid;80;6;17
artefactop; Barcelona;80;44;12
gorkamolero; Madrid;80;1;2
santirivera92; Valladolid;80;1;5
gopalkoduri; Barcelona;80;9;5
alombarte; Barcelona;80;41;43
danicomas; Barcelona;80;14;4
asilvestre; Barcelona;80;4;1
estefigj; Madrid;79;0;6
rikidpr; Zaragoza;79;0;0
ipalaus; Barcelona;79;30;17
vortizhe; Asturias;79;7;13
oscargdd; Madrid;79;2;2
IvanoAlvino; Granada;79;1;0
bermi; Barcelona;79;275;64
jmgimeno; Lleida;79;45;11
EduardOckerse; Málaga;79;0;1
CharlyCB; Valencia;79;0;0
dianmorales; Madrid;79;3;3
ceritium; Barcelona;79;49;22
eleazarhdez; Tenerife;79;10;2
Sharlie89; Sevilla;78;1;3
montsechamorro; León;78;0;0
jetremote; Las Palmas;78;3;0
ivanarrizabalaga; Asturias;78;0;0
ecentinela; Barcelona;78;35;4
penyaskito; Sevilla;78;20;80
jorgeles; Granada;78;1;1
alexgt9; Barcelona;78;0;9
nidstang; Madrid;78;8;4
Carlosmape; Tenerife;77;0;0
alejandroSuch; Alicante;77;5;4
Ricardo1980; Madrid;77;4;3
caldofran; Madrid;77;7;13
jcangas; Barcelona;77;72;3
f00barin; Barcelona;76;21;3
abasallo; Madrid;76;0;1
galindus; Barcelona;76;0;1
carlosbello; Madrid;76;0;3
alexislucena; Granada;76;0;2
jordi-pages; Barcelona;76;0;2
abgil; Madrid;76;0;1
piedraj; Cantabria;76;0;1
alloveras; Barcelona;76;0;2
virgiliosanz; Madrid;76;1;2
frasanz; Zaragoza;76;7;3
jortegamo; Madrid;76;0;2
jorgesanzx; Madrid;76;0;8
Yeagob54; Barcelona;75;0;1
fecresgam; Madrid;75;3;4
alvar0hurtad0; Cáceres;75;4;5
franjial; Córdoba;75;0;1
Mortega5; Madrid;75;4;3
jorgeas80; Madrid;75;10;10
jorix; Barcelona;75;51;14
tondy67; Baleares;75;3;1
luismigm; Madrid;75;0;15
sergigp; Barcelona;75;17;22
pablojimeno; Zaragoza;75;25;25
elmarco; Barcelona;74;8;11
jjbier; Coruña;74;0;0
aleroddepaz; Madrid;74;10;10
mamuso; Madrid;74;243;103
carlessanagustin; Barcelona;74;4;4
alexpdp7; Barcelona;74;1;4
decabeza; Madrid;74;1;2
acasquete; Barcelona;74;1;6
zerjioang; Bilbao;74;1;1
migueldelmazo; Madrid;74;0;1
IsNotMyIP; Madrid;74;3;12
joseconti; Barcelona;74;9;3
juanderuiz; Málaga;73;0;0
rafapuig; Valencia;73;0;6
BLL75; Málaga;73;2;4
eagj; Álava;73;0;0
jconejero; Valencia;73;0;2
fcofdez; Madrid;73;2;8
robertene1994; Asturias;73;0;0
amartinr1977; Zaragoza;73;1;1
phelgo; Barcelona;73;8;3
i32petoj; Córdoba;73;0;11
tmorris24; Asturias;72;0;0
fmartingr; Madrid;72;48;24
luismiramirez; Madrid;72;4;10
vfrico; Madrid;72;6;2
Goteo; Baleares;72;149;42
sankalpg; Barcelona;72;0;7
pabloDon; Madrid;72;0;4
glenn-sweeney; Granada;71;2;1
julian-garrido; Granada;71;1;1
juanmirod; Málaga;71;0;2
m1k3lm; Bilbao;71;4;3
mrzard; Barcelona;71;8;14
javiermadueno; Córdoba;71;2;1
fpalacioschaves; Málaga;71;0;0
carlosduelo; Madrid;71;0;7
jimmyoak; Barcelona;71;9;3
bercab; Baleares;71;2;4
magarcia; Barcelona;71;22;14
Darhen89; Cádiz;71;0;0
amieiro; Pontevedra;70;8;4
SergioXp; Sevilla;70;0;3
jherranzm; Barcelona;70;9;2
ahaasler; Madrid;70;3;2
JuanLuisGarciaBorrego; Sevilla;70;1;5
DaniSancas; Bilbao;70;0;4
SergioRosello; Madrid;70;0;7
marcelinollano; Madrid;70;38;66
alvarezgregory; Madrid;70;11;8
ajmoyad; Granada;70;2;3
jmservera; Baleares;70;0;4
mzaforas; Madrid;70;1;10
mrfelton; Barcelona;70;1;5
namelivia; Madrid;69;2;8
brunogarcia; Madrid;69;35;16
santi-gonzalez; Barcelona;69;5;3
bertbalcaen; Barcelona;69;4;9
dowrow; Madrid;69;2;3
kutyel; Alicante;69;7;2
Squallium; Sevilla;69;0;6
yeradis; Barcelona;69;6;21
nass600; Madrid;69;47;13
klomoli; Granada;69;0;0
jpuigcerver; Valencia;69;14;4
KeoH; Sevilla;69;4;1
raulgtk; Granada;69;0;0
igbopie; Madrid;68;11;12
sdeancos; Madrid;68;28;19
playmono; Baleares;68;3;1
ubaldus; Tenerife;68;3;1
AlessioPaternoster; Pontevedra;68;0;0
Falc; Bilbao;68;29;14
andreslucena; Madrid;68;3;12
bobbens; Barcelona;68;214;18
IlyaBakhlin; Madrid;68;0;3
acamps; Barcelona;68;0;5
Pitazzo; Zaragoza;67;3;1
raulferras; Barcelona;67;45;4
jamesduncombe; Sevilla;67;12;3
JonasLopezMesa; Tenerife;67;0;3
jmaister; Valencia;67;202;8
edlectrico; Bilbao;67;6;14
dario1985; Barcelona;67;11;16
eloipoch; Barcelona;67;0;11
orestes; Barcelona;67;5;5
pedroparra; Córdoba;67;0;3
afsuarez; Asturias;67;2;0
ilismal; Madrid;67;0;2
DuncanACampbell; Barcelona;67;0;3
gorkapitarch; Barcelona;66;0;9
saulvargas; Madrid;66;0;2
mgryszko; Madrid;66;47;24
ricpelo; Cádiz;66;20;9
jordifreek; Valencia;66;44;2
cgvwzq; Zaragoza;66;0;3
DavidGasquez; Granada;66;8;10
furia77; Segovia;66;0;1
jorge-barroso; Valencia;66;2;0
EdgarGomez; Valencia;66;0;0
mnothic; Barcelona;66;1;5
JuanMNGA; Cádiz;66;1;5
yukideluxe; Barcelona;66;4;25
tomasmax; Bilbao;66;11;8
boudydegeer; Alicante;66;0;2
satanin; Valencia;66;2;4
LNSD; Valencia;66;6;2
albertboada; Barcelona;66;8;5
segundofdez; Lugo;66;0;4
blaiprat; Barcelona;66;51;8
alazuga; Zaragoza;65;0;0
alejandrosantana; Pontevedra;65;0;5
mminguezz; Madrid;65;2;2
atheedom; Madrid;65;2;3
PabloArty; León;65;0;1
Ferrando92; Valencia;65;1;0
sertansenturk; Barcelona;65;0;1
fredfigueiredo; Barcelona;65;3;3
Razgriz85; Bilbao;65;0;2
chescales; Barcelona;65;2;6
pruiz; Madrid;65;191;9
joserendal; Asturias;65;0;3
Puigcerber; Rioja;64;8;1
slipszenko; Barcelona;64;3;3
tonimc; Ourense;64;0;1
Alexsays; Ourense;64;0;2
sanpago; Madrid;64;0;10
Jick9536; Granada;64;0;1
mllobet; Barcelona;64;2;13
orobitg; Barcelona;64;0;7
carvilsi; Valencia;64;1;4
javism; Córdoba;64;2;23
RubenBRR; Bilbao;64;0;0
lauramcastro; Coruña;64;6;7
Inmakia; Madrid;64;0;5
raycar; Barcelona;64;0;1
zhuangsc; Barcelona;64;2;2
eduRivera; Barcelona;64;0;13
samuelguegon89; Sevilla;64;0;9
r1verside; Cantabria;64;0;0
diasjorge; Barcelona;63;115;41
gridchin; Barcelona;63;2;2
murtra; Gerona;63;0;5
LuisMars; Valencia;63;0;1
raiben; Granada;63;4;3
albhilazo; Barcelona;63;1;4
ixiam; Barcelona;63;0;2
idafereyes; Madrid;63;0;1
imobach; Las Palmas;63;1;9
mtbtiago; Barcelona;63;0;9
danigiri; Barcelona;63;25;18
javiertello; Zaragoza;63;0;0
fjavieralba; Madrid;63;120;41
kamte; Madrid;62;0;7
tabad; Ciudad Real;62;0;1
Leontes; Granada;62;1;5
AntonioMA; Madrid;62;0;4
JaviRubio; Granada;62;3;1
Csardelacal; Madrid;62;3;3
VictorPereraTarajano; Las Palmas;62;0;3
Brianholl; Rioja;62;0;1
danigonza; Barcelona;62;3;5
lurumad; Madrid;62;6;12
sukarita; Madrid;61;2;4
eparreno; Gerona;61;136;53
amuniz; Sevilla;61;4;1
DavidHernandez; Valencia;61;11;24
larshesel; Barcelona;61;11;15
IvanParraga; Barcelona;61;0;2
juananpe; Donostia;61;3;5
franktoffel; Alicante;61;9;4
adv0r; Barcelona;61;44;12
angeldelblanco; Madrid;61;0;1
jalberto; Sevilla;61;13;29
jchansp; Toledo;61;2;0
davidgarsan; Madrid;61;0;5
Cesalv; Cantabria;61;0;0
ColinTirado; Madrid;61;0;1
rricote; Zaragoza;61;0;8
elcresan; Valencia;61;0;4
juarolsal; Sevilla;60;1;0
fredondo; Madrid;60;2;5
albarin; Barcelona;60;1;4
hsocasnavarro; Tenerife;60;60;13
DesarrollandoAndroid; Cuenca;60;0;0
agustinsantos; Madrid;60;1;2
albertocbarrigon; Zaragoza;60;1;0
mutsuda; Barcelona;60;19;13
padajuan; Madrid;60;4;6
Hug0Ramos; Sevilla;60;0;1
jmdaweb; Madrid;60;0;1
omarsotillo; Córdoba;60;0;13
germanrcuriel; Barcelona;60;55;13
arandaio; Córdoba;60;0;22
fgarcialainez; Huesca;60;44;6
currix; Huelva;60;3;1
danielcasanovas; Lleida;60;0;0
lopezmuzas; Huesca;60;1;6
ban007; Málaga;60;0;0
pdiegodios; Pontevedra;59;0;1
naveda89; Bilbao;59;3;14
pablooli; Zaragoza;59;0;0
jruz; Barcelona;59;1;4
pablopaolus; Granada;59;0;0
ivanmaeder; Madrid;59;1;9
masalinas; Asturias;59;1;1
neomoha; Barcelona;59;13;2
mariohm; Granada;59;1;4
TonyWang-UMU; Murcia;59;0;1
hectr; Barcelona;59;78;9
pjorquera; Valencia;59;0;3
SamYan; Barcelona;59;6;2
BorjaL; Madrid;59;1;6
jsmolina; Barcelona;59;7;4
GinoGalotti; Madrid;59;0;2
gstvrmrlpz; Granada;59;0;1
jofera; Málaga;59;1;3
piercifani; Barcelona;59;18;6
aferrandini; Madrid;59;94;27
maketas; Madrid;58;0;2
hellboykelevra; Las Palmas;58;0;1
jogaco; Barcelona;58;1;6
oscarvera; Valencia;58;0;0
elektroid; Madrid;58;0;4
jlopezr; Barcelona;58;4;9
ajnebro; Málaga;58;0;8
jplana; Madrid;58;117;26
visancal; Valencia;58;1;2
aganglada; Baleares;58;1;7
JavierAbrego; Zaragoza;58;1;2
dgaubert; Madrid;58;6;6
DavidBM; Valencia;58;1;3
codecoding; Barcelona;58;15;3
diegoparrilla; Madrid;58;0;4
budsan; Barcelona;58;16;14
ruizfrontend; Madrid;57;3;5
alex-pardo; Tarragona;57;3;4
forostm; Lugo;57;0;1
aitor-garcia-p; Donostia;57;0;0
orlandoaleman; Las Palmas;57;6;5
mcamou; Madrid;56;28;10
lnicalo; Valladolid;56;0;0
sp-marc-canaleta; Barcelona;56;4;4
isidrorg; Tenerife;56;3;1
naarean; Burgos;56;1;0
dariomolina; Córdoba;56;0;2
mhiguera; Madrid;56;2;5
RocAlayo; Barcelona;56;0;4
fnavarrogonzalez; Granada;56;0;2
jsampedro77; Barcelona;56;3;3
jpalanco; Madrid;56;5;13
joruiz; Bilbao;56;4;23
davebcn87; Barcelona;56;13;12
sixtohg; Cantabria;56;0;0
inma610; Madrid;56;0;3
csoriano89; Gerona;56;15;4
dani-carbonell; Valencia;56;3;1
dalloliogm; Barcelona;56;53;22
aesptux; Madrid;56;49;10
barakka; Valencia;56;0;2
xxjcaxx; Valencia;56;0;0
Bultako; Granada;56;4;4
cmendible; Madrid;55;58;8
zigotica; Barcelona;55;11;27
marcosQuesada; Barcelona;55;36;46
rocboronat; Barcelona;55;9;11
kasappeal; Madrid;55;0;9
seravb; Granada;55;1;6
anthanh; Madrid;55;0;11
neomede; Murcia;55;5;10
diegoriez; Madrid;55;0;1
aitorneos; Barcelona;55;1;1
Nara-Jeamfry; Tarragona;55;0;0
fjruizruano; Granada;55;5;2
logc; Madrid;55;3;4
alebupal; Granada;55;0;0
juanolalla; Granada;55;3;2
i02sopop; Madrid;55;14;5
rodrigorega; Lugo;54;0;1
trilopin; Madrid;54;2;2
msantanagonzalez; Ourense;54;0;2
abellogin; Madrid;54;0;15
willworth; Asturias;54;1;0
scapella; Barcelona;54;25;5
felixmartin; Madrid;54;2;6
kterry; Cantabria;54;0;1
arturomtm; Madrid;54;67;16
