login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
antonov;Zaragoza, Spain;2;5;1;2;0
sergiomtzlosa;Zaragoza;37;5;308;1;0
alu45622;Zaragoza;0;5;0;1;0
iryoku;Zaragoza, Spain;70;5;381;1;0
jfernandeziriarte;Zaragoza;0;4;0;1;0
pedropaG;Zaragoza, Spain;2;4;0;2;0
damocles33;zaragoza;0;4;3;1;0
Ferdindn;Zaragoza;0;4;0;1;0
aromay;Zaragoza, ES;0;4;0;1;0
UlisesFreitas;Zaragoza;0;3;4;1;0
lordward;Zaragoza;0;3;0;1;0
Nodsert;Zaragoza;0;3;0;1;0
capitangolo;Zaragoza, Spain;4;3;0;1;0
mol8;Zaragoza;0;3;3;1;0
Shide;Zaragoza, Spain;3;2;0;1;0
Glazaro;Zaragoza, Spain;0;2;1;1;0
torresburriel;Zaragoza, Aragón;0;2;0;1;0
antonioelias;Zaragoza, Spain;1;2;2;1;0
jlsfernandez;Zaragoza;0;2;1;1;0
JoseCN;Zaragoza (Spain);3;2;0;1;0
sexto;Zaragoza, Spain;0;2;0;1;0
wiliame;Zaragoza, Spain;4;2;0;1;0
crolindez;Zaragoza;0;2;0;1;0
mtlazaro;Zaragoza, Spain;1;1;1;1;0
sbegueria;Zaragoza, Spain;0;1;1;1;0
vortice3D;Zaragoza (Spain);0;1;1;1;0
dnotivol;Zaragoza, Spain;0;1;0;1;0
fernandoolmos;Zaragoza;0;1;0;1;0
nachomaco;Zaragoza, Spain;3;1;3;1;0
inadsan;Zaragoza;1;1;0;1;0
pabloabadsanz;Zaragoza, Spain;4;1;0;1;0
Aitom;Zaragoza, Spain;0;1;0;1;0
vcanizares;Zaragoza;1;1;0;1;0
pabloiglesias;Zaragoza;0;1;0;1;0
mrmx;Zaragoza,Spain;9;1;4;1;0
dforcen;Zaragoza;1;1;0;1;0
ml-rodriguez;Zaragoza, Spain;0;1;0;1;0
Shantydroid;Zaragoza;2;1;0;1;0
GuillermoCastillo;Zaragoza (SPAIN);0;1;0;1;0
memmaker650;Zaragoza;2;1;8;1;0
