login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
LuisTJap;Sevilla;4;28;0;2;0
bermudoancio;Sevilla, Spain;0;28;0;3;0
cosmopod;Seville (Spain);7;28;6;3;0
dejandomarcas;Sevilla;0;27;2;2;0
pbanos;Sevilla (Spain);2;27;5;5;0
Thraxs;Seville, Spain;1;27;0;3;0
vicenteherrera;Sevilla, Spain;1;27;1;2;0
jiparis;Seville;9;27;11;2;0
Negrero;sevilla;0;26;0;6;0
rjgarciam;San Sebastián/Seville, Spain;2;26;0;2;0
pulimento;Seville, Spain;6;26;1;2;0
marinpareja;Sevilla;0;26;1;3;0
javisr;Sevilla;5;25;1;2;0
alvaromurillo;Seville, Spain;11;25;3;3;0
juanjepl;Seville, Spain;2;25;0;3;0
Sergio22;Sevilla;0;25;0;1;0
nashgul;Dos Hermanas, Sevilla;0;25;0;1;0
CarlosCondor;Sevilla/Zafra (Spain);7;24;9;3;0
ACNestor;Seville, Spain;0;24;0;2;0
samuelguegon89;Dos Hermanas (Sevilla);10;24;0;2;0
josdan;Seville;1;23;0;3;0
joseliki;sevilla;6;22;0;1;0
dmarrufo;Sevilla;4;22;1;2;0
jaime-rey;sevilla;0;22;2;8;0
juanluisrp;Sevilla;30;22;11;3;0
brovador;Sevilla;6;21;19;3;0
Rafaesp;Sevilla, España;2;21;8;3;0
Manuel-Jesus;Los Palacios y Villafranca, Sevilla;16;21;0;2;0
salvatejero;Sevilla;1;21;5;3;0
hawk31;Seville, Spain;1;20;0;2;0
cobeete;Sevilla;2;20;0;2;0
bi0xid;Sevilla, Spain;19;19;24;2;0
ssuria;Madrid, Sevilla;0;19;0;2;0
rgarcia-martin;Sevilla;0;19;2;2;0
pramos7;Sevilla, España;0;18;0;2;0
sdavidg;Sevilla, España;0;18;0;3;0
alfem;Seville;4;17;9;1;0
antoniogarcia78;Sevilla (Spain);0;17;1;3;0
jacmaes;Seville, Spain;3;17;5;2;0
Joncy;Seville;4;16;1;3;0
jaalonso;Sevilla (España);0;15;0;1;0
elaget;Sevilla;1;15;0;3;0
pcaro;Sevilla;7;15;2;2;0
vicmonmena;Sevilla;1;15;2;3;0
