login; location; followers; contributions; stars; language
joanvila;Barcelona;2;70;0;JavaScript
nicoSWD;Barcelona, Spain;10;70;124;PHP
fredfigueiredo;Barcelona;4;70;3;JavaScript
piercifani;Barcelona;5;70;18;Objective-C
RubenBRR;Bilbao - Spain;0;70;0;Java
javocsoft;Barcelona;0;70;2;Java
marcelinollano;Madrid;66;70;41;Ruby
igormilla;Barcelona, Spain;8;70;0;JavaScript
paredero;Madrid;0;70;0;Java
adchsm;Barcelona;21;69;831;CSS
piradoiv;Tenerife, Spain;14;69;7;PHP
inercia;A Coruña, Spain;8;69;16;Python
MikelDelTio;Bilbao;0;69;5;Java and JavaScript
Inmakia;Madrid;5;69;0;Java and CSS
danigiri;Barcelona;18;69;28;Java
bertbalcaen;Barcelona, Spain / Ghent, Belgium;9;69;4;PHP
ercrema;Barcelona;0;69;0;R
ricpelo;Sanlúcar de Barrameda (Cádiz);9;69;20;C
jordi-pages;Barcelona, Spain;2;69;0;C++
raulgtk;Granada, Spain;0;69;0;Python
tapule;Spain;1;69;6;Shell and C++
oscarpg41;Madrid. Spain;0;69;0;JavaScript
Squallium;Sevilla (Spain);6;69;0;JavaScript
jalucenyo;Spain - Tarragona;13;69;24;Java
klomoli;Granada, Spain;0;69;0;CSS
playmono;Palma de Mallorca;1;68;2;JavaScript
alombarte;Barcelona;43;68;39;Puppet
fiunchinho;Barcelona;38;68;53;PHP
lienbcn;Barcelona;5;68;0;JavaScript
TheBronx;Spain;3;68;25;JavaScript
lealxavi;Madrid;19;68;2;HTML
pabloDon;Madrid;5;68;0;JavaScript
jorgedlcruz;Madrid;2;68;0;PHP
santirivera92;Valladolid;5;68;1;Java
magfernandez;Valdepeñas, Spain;0;68;0;C++
danayaher;España;2;68;0;Python and PHP
ayatojhans;Spain;0;68;0;PHP and CSS
DavidGasquez;Granada;10;68;8;C++
Pitazzo;Zaragoza, España;1;68;3;Java
AlessioPaternoster;Vigo di Ton (Trento);0;68;0;JavaScript
carvilsi;Puerto de Sagunto, Valencia, Spain;4;68;2;JavaScript
FedericoFdez;Madrid;1;68;0;JavaScript
pruiz;Madrid (Spain);10;68;193;C#
vroddon;Madrid, Spain;2;68;0;
horaciogd;Galicia / Spain;0;68;1;PHP
jbbarquero;Spain;3;68;13;Java
AntonioMA;Madrid, Spain;4;68;0;JavaScript
jcangas;Barcelona, spain;3;68;40;Ruby
gblancogarcia;Spain;11;68;109;Objective-C and Ruby
boudydegeer;Alicante, Spain;2;67;0;CoffeeScript
Echeverrias;Madrid;2;67;0;Java
jordicenzano;Barcelona;0;67;3;C++
magarcia;Barcelona, Spain;14;67;22;JavaScript
yeradis;Barcelona,Spain;21;67;6;Python
elemarez;Canary Islands, Tenerife, Spain;0;67;0;
AdrianJB;Dos Hemanas, Sevilla;6;67;0;Python
JuanMNGA;Chiclana, Cádiz;7;67;1;Java
afsuarez;Oviedo, Asturias;0;67;2;Java and JavaScript
VidelaRosa;Málaga;4;67;0;JavaScript
vitalv;Madrid;2;67;2;Ruby
fgarcialainez;Huesca (Spain);7;67;38;Java
recompila;Spain;0;67;0;Visual Basic
diegodelemos;Ourense, Spain;2;67;0;PHP
ajnebro;Málaga (Spain);10;67;0;Java
penyaskito;Sevilla, Spain;81;67;20;PHP
KeoH;Sevilla, Spain;1;67;4;Python
JesusAntonioGil;Madrid, Spain;4;67;3;Objective-C and Ruby
danigar;Spain;4;67;0;JavaScript
r1verside;Cantabria;1;67;0;C#
eacevedof;Madrid;0;66;0;JavaScript
rub0;Madrid;1;66;0;JavaScript
helfio;Granada, Spain;3;66;0;Python
carlesm;Lleida;12;66;5;Python
gopalkoduri;Barcelona;5;66;9;Python
quicoto;Barcelona, Spain;0;66;3;JavaScript
jorge-barroso;Gandia, Valencia, Spain;0;66;2;Shell
pablorc;Gijón, Asturias;11;66;0;Ruby
linuxesdios;valladolid;4;66;2;Shell
kterry;Cantabria - Spain;1;66;0;Java
felmoltor;Madrid / Jaén;15;66;26;Ruby
skydivematy;Spain/Gran Canaria;1;66;2;PHP
jmhdez;Madrid (Spain);40;66;68;JavaScript
cgvwzq;Zaragoza, Spain;3;66;0;Shell
pasanflo;Spain;3;66;0;Java
MalGanis2;Huelva, Spain;1;66;0;Java
rafaelxavi;Málaga, Spain;2;66;0;JavaScript and CSS
bitvandal;Madrid, Spain;0;66;0;Ruby
EdgarGomez;Valencia - Spain;0;66;0;Ruby
aruiz;Las Palmas de Gran Canaria, Spain;20;66;32;Python
fjruizruano;Granada, Spain;2;66;5;Python
benjaGarrido;Madrid, Spain;4;66;0;Java
MarkCTest;UK & España;1;66;1;Ruby
DaniSancas;Bilbao, Spain;5;66;0;PHP
algodelinux;Plasencia, Spain;1;65;1;Shell and Puppet
calvinpy;Madrid;0;65;3;Python
osoylemez;Barcelona, Spain;3;65;0;CSS and JavaScript
Anlazes;Spain;1;65;0;Java
cesar-rgon;Spain;2;65;9;Shell
maryampashmi;spain;1;65;1;JavaScript
rpperezr;Cartagena (España);1;65;0;
alonsovidales;Spain;31;65;138;Python
cmc00022;España;16;65;71;Java and Shell
ogf;Spain;6;65;8;Clojure
PaquitoSoft;Spain;8;65;69;JavaScript
RonnyAnc;España;5;65;0;Java
Rauleinstein;Granada;2;65;0;PHP
Jick9536;Granada;1;65;0;Java
lopezmuzas;Barbastro. Huesca. Spain.;6;65;1;PHP
StormBytePP;Alicante, Spain;0;65;2;PHP
alazuga;Teruel-Zaragoza;1;65;0;Java
eduRivera;Barcelona;13;65;0;JavaScript
jjbier;A Coruña;0;65;0;PHP and Makefile
ipalaus;Barcelona;18;65;32;PHP
albertboada;Barcelona;5;65;8;PHP
ddcesare;Barcelona;2;65;0;JavaScript and CSS
kasooja;Madrid;0;65;0;Java and XML
johnmcl81;Madrid;0;65;0;PHP
alvar0hurtad0;Cáceres, Spain;5;64;4;Ruby
arojascastro;Barcelona;0;64;2;
AdrianGarciaAndreu;Xirivella, Valencia;2;64;0;Java
gridchin;Barcelona, España;2;64;2;JavaScript
albhilazo;Barcelona, Spain;4;64;1;JavaScript
afmorris;Seville, OH;2;64;0;C#
drmillan;Seville;8;64;9;Java
tonilap;Barcelona;1;64;0;JavaScript
d3cod3;Valencia, España;13;64;38;C++
zhuangsc;Barcelona;2;64;2;Shell
kovan;Spain;0;64;22;JavaScript
mesmerismo;Spain;0;64;0;CSS
sanpago;Madrid;10;64;0;JavaScript and CSS
endSly;Bilbao, Spain;18;64;218;Ruby
javism;Córdoba, Spain;24;64;2;C++
jpuigcerver;Valencia, Spain;6;64;16;Shell
Alexsays;Ourense;2;64;;CSS
snow6oy;Spain;0;64;0;JavaScript
pedrazamiguez;Seville, Spain;0;64;0;Java
garciaae;Seville, Spain;0;64;2;Objective-C
raycoarana;Madrid;6;64;29;Java
ilismal;Madrid;2;64;0;PowerShell
javierpuche;Madrid;0;64;0;
juarolsal;Sevilla, Spain;1;63;1;Python
javiertello;Zaragoza;0;63;0;Java
martincalsyn;Barcelona, Spain;0;63;0;C#
orobitg;Barcelona;7;63;0;Shell
ixiam;Barcelona;2;63;0;PHP
LuisMars;Valencia;1;63;0;Java
RompePC;Spain;1;63;0;PHP
rossf7;Barcelona, España;0;63;15;Ruby
TheCso;Spain;1;63;0;CSS
Mortadelegle;Madrid;1;62;2;Java
pfc2014;Valencia;0;62;0;PHP
DavidBM;Valencia;4;62;1;JavaScript and CSS
ruben11291;Spain;1;62;0;Makefile
q2dg;Barcelona (Spain);0;62;0;
sdeancos;Madrid, Spain.;20;62;29;Python
aasensiog;Barcelona;0;62;0;JavaScript
tcrossland;Madrid, Spain;0;62;5;Groovy
jruz;Barcelona, Spain;5;62;1;CSS
dasolma;Seville;1;62;0;Java
jffernandez;Spain;1;62;1;Python
freckless;Spain;0;62;0;JavaScript
int-0;Spain;10;62;21;Python
fabianvaccaro;Malaga, Spain;0;62;0;C#
juananpe;Irún, Gipuzkoa;5;62;3;R
agileontheweb;spain;0;62;1;JavaScript
Diegazo;Spain;0;62;1;Java
hejuso;Spain;1;62;0;Java
ehooo;Malaga (Spain);2;62;1;Python
RocAlayo;Barcelona;4;62;0;JavaScript
alvr;España;1;62;0;Visual Basic
namelivia;Madrid;8;62;2;JavaScript
hemarque;Madrid;2;62;0;Java
issinatour;Madrid;9;62;1;Java
kamte;Madrid;7;62;0;
miguelSantirso;Barcelona;0;62;1;ActionScript
matteosistisette;Barcelona;1;62;1;CSS
xaviserrag;Barcelona;4;62;0;JavaScript
mrzard;Barcelona;15;62;9;PHP and JavaScript
drvy;Spain;5;62;7;CSS
SergioBertolinSG;Valladolid;0;62;0;Python and Shell
nandosola;Madrid, Spain;15;62;11;Java
gdfm;Barcelona;21;62;7;Java
agseco;Barcelona, Spain;1;62;0;Ruby
calzada;Castellon (Spain);2;61;1;Perl
DavidPerezIngeniero;Barcelona;0;61;0;JavaScript
JaviRubio;Granada;1;61;3;C#
gonzalezsieira;Santiago de Compostela, Spain;4;61;0;
hectr;Barcelona, ES;9;61;83;Objective-C
albertotrillo;Spain;3;61;0;JavaScript
fjavieralba;Madrid, Spain;42;61;126;Python
victoriano;Granada, Spain;33;61;15;JavaScript
pganuza;Madrid;0;61;0;Java
anthanh;Madrid;17;61;1;JavaScript
Ale-;Barcelona;1;61;2;CSS
Falc;Bilbao, Spain;14;61;31;PHP
carlosduelo;Madrid, Spain;7;61;0;C++
HectorGPala;Madrid;0;61;0;VHDL
sukarita;Madrid;4;61;2;PHP
jormaral;Badajoz (Spain);5;61;15;JavaScript
Sharlie89;Sevilla;3;61;1;Shell
markitosgv;Madrid, Spain.;1;61;4;JavaScript
jmdaweb;Madrid, España;1;61;0;
CarlosLM-NCC;España;0;61;1;JavaScript
aferrandini;Madrid - Spain;29;61;96;PHP
SnakeTheRipper;España;0;60;1;C#
marcsances;Spain;0;60;0;C#
Hug0Ramos;Sevilla, Spain;1;60;0;CSS
rtorresca;Valencia, Spain;3;60;12;C++
piffall;Spain;3;60;2;Shell
giuband;Barcelona, Spain;0;60;0;Python
mutsuda;Barcelona;13;60;19;JavaScript
juandebravo;Barcelona;34;60;36;Ruby
fredondo;Madrid;5;60;2;Groovy
eldelacajita;Madrid;5;60;0;
Alexis1980;Ibi, Alicante, España;0;60;0;R
hds;Barcelona;8;60;8;Python
mcomas;Girona;1;60;1;R
DesarrollandoAndroid;Cuenca, España;1;60;0;Java
danielcasanovas;Lleida;0;60;0;Python
fpalacioschaves;Málaga;0;60;0;PHP
agustinsantos;Madrid, Spain;2;60;1;C#
jberlana;Spain / Madrid;71;60;1187;Objective-C and Ruby
padajuan;Madrid, Spain;8;60;12;Python
jsoriano;Madrid, Spain;22;60;21;Shell
sergiou87;Spain;15;60;59;Objective-C
pjorquera;Valencia;3;60;0;
prietopa;Madrid, Spain;1;60;3;Java
davidkaste;Lleida, Països Catalans;19;60;5;Java
jpuente;Madrid, Spain;4;59;4;Java
elcresan;Valencia, Spain;4;59;0;Java
ivanmaeder;Madrid;9;59;1;PHP
jorgesanzx;Madrid;8;59;0;CSS
jmservera;Madrid;4;59;0;C#
pablooli;Zaragoza;0;59;0;Java
jagedn;Madrid;0;59;1;Groovy
m1k3lm;Bilbao;3;59;4;Python
segundofdez;Lugo, Galicia, Spain;4;59;6;CSS
YabataDesign;Spain;17;59;106;Python and JavaScript
semproms-64;Valencia, España;0;59;0;Java
lastko;Seville, Spain;2;59;1;Shell
TonyWang-UMU;Murcia, España;1;59;0;Java and C++
aganglada;Palma de Mallorca;7;59;1;JavaScript
jofera;Málaga;3;59;1;Java
Sancer;España;3;59;3;JavaScript
budsan;Barcelona;14;59;17;C++
landtax;Barcelona;7;59;5;Ruby
adriacidre;Barcelona;16;59;8;PHP
pablopaolus;Granada;0;59;0;C++
grcanosa;Madrid, Spain;0;59;0;Python
betweendays;Barcelona;1;59;0;
Narfss;Barcelona, Spain;12;59;315;Java
gsabater;España;2;59;5;CSS
csoriano89;Girona, Spain;4;59;17;JavaScript
sosoviak;Spain;3;59;0;JavaScript and CSS
jorgealegre;Madrid, Spain;2;59;0;
Jacob84;Valencia, Spain;6;59;1;C#
jvillafanez;Valladolid;0;58;0;
JuanfranRobles;Granada (España);0;58;0;Java
oscarvera;Valencia;1;58;0;Java
elektroid;madrid;4;58;0;Go
MoralAlberto;Barcelona;0;58;0;Objective-C
chmutoff;Alicante (Spain);0;58;0;JavaScript
dviejo;Alicante, Spain;3;58;3;OpenSCAD
sp-oriol-manya;Barcelona;0;58;0;
albsala;Barcelona;1;58;0;Objective-C and Ruby
naarean;Burgos, Spain;0;58;1;CSS
acamps;Barcelona;5;58;0;HTML
visancal;Valencia (Spain);2;58;1;Java
Aestu;Madrid;0;58;0;PHP
JavierAbrego;Zaragoza;2;58;1;Java
samuelguegon89;Dos Hermanas (Sevilla);10;58;0;Python and CSS
forvas;Vigo;2;58;0;Python
idulis;Madrid;2;58;2;CSS
dani-carbonell;Valencia;2;58;3;C++
xenock;Spain;2;58;0;CSS
AngelicaGuaman;España;1;58;0;CoffeeScript
FuriioS;Spain;3;58;0;Makefile
diegoparrilla;Madrid, Spain;4;58;0;
cjrequena;Madrid;0;57;0;Java
braisNQ;Ourense;2;57;0;PHP
zerasul;Almeria;6;57;2;Java
WaKeMaTTa;España (Spain);1;57;2;JavaScript
mmartinalo;España;4;57;0;PHP
islavisual;Madrid, Spain;1;57;0;JavaScript
antoineallard;Barcelona, Spain;3;57;0;HTML and CSS
AndyOPDev;España;1;57;0;HTML and CSS
FranFT;Granada, Spain;1;57;0;Java
SebasSBM;Spain;0;57;1;PHP and Python
dlazaro66;Granada;11;57;76;Java
rubengooj;Malaga;1;57;0;CMake and C++
tonibagur;Barcelona, Spain;1;57;3;Python
XavierGimenez;Barcelona, Catalonia;2;57;2;CSS
codecoding;Barcelona;4;57;22;C#
jsmolina;Barcelona;4;57;7;Python
iroyo;Barcelona;0;57;1;CSS and JavaScript
robertobarreda;Barcelona, Catalunya;9;57;6;Python
krainet;Barcelona;0;57;2;JavaScript
gamezdaniel;Madrid;0;57;0;Java
naveda89;Bilbao, Spain;15;57;3;Ruby
asiermarques;Barakaldo, Vizcaya, España;64;57;47;PHP
B0RJA;Spain;2;56;8;C
chutetearer;spain;0;56;0;R and Python
dariomolina;Cordoba;2;56;0;Python
Korrosivo;Spain;2;56;3;Shell
rbarriuso;Madrid, Spain;1;56;0;Lua
fblupi;Granada (Spain);1;56;0;C#
Hoijof;Spain;2;56;2;JavaScript
barakka;Valencia;2;56;0;JavaScript
MercAddons;Granada;6;56;1;Ruby and Java
Palaui;Barcelona;5;56;0;
sp-marc-canaleta;Barcelona;4;56;4;Ruby
jamesduncombe;London / Sevilla;3;56;12;Ruby
sixtohg;Santander - Spain;0;56;0;
davidbarral;A Coruña, Spain;17;56;10;Ruby
manolodd;(Badajoz) Spain;1;56;7;JavaScript
lnicalo;Valladolid, Spain;0;56;0;Python
fnavarrogonzalez;Granada, España.;2;56;0;Python
seravb;Granada, Melilla, Spain;6;56;1;JavaScript
franontanaya;Valencia, Spain;1;56;0;JavaScript
demis-palma;Arrieta, Lanzarote, Spain;0;56;0;PHP
guillermomuntaner;Mallorca, Spain;2;56;76;Objective-C
Bultako;Granada, Spain;4;56;4;Python
aaronfc;Madrid;5;56;0;Python
mmfilesi;madrid;5;56;1;JavaScript
mhiguera;Madrid;5;56;2;JavaScript
marionuevo;Canary Islands. Spain.;0;56;0;JavaScript
mmontes11;A Coruña;7;55;11;CSS
marcosQuesada;Barcelona;46;55;36;PHP
mparramont;Barcelona, Spain;14;55;58;Ruby
jessicafndez;Barcelona;0;55;0;Java
zigotica;Barcelona;27;55;13;JavaScript
neomede;Totana, Murcia;10;55;5;PHP
alex-pardo;Tarragona;4;55;3;Python
Nara-Jeamfry;Valls, tarragona;0;55;0;C
josecho;Santiago de Compostela;1;55;;Java
javikalsan;Iruña;1;55;1;PHP
MatiPruvost;Córdoba;0;55;3;Python and JavaScript
DioJoestar;Spain;3;55;44;Visual Basic and Shell
ojgarciab;Mostoles (Madrid - Spain);0;55;0;Java
kasappeal;Madrid, Spain;9;55;0;
imim;Spain;0;55;0;R
manufosela;Spain;1;55;7;JavaScript
orlandoaleman;Las Palmas, Spain;6;55;6;Objective-C
juanolalla;Granada, Spain;2;55;4;JavaScript
joruiz;Bilbao;24;55;4;C++
23r9i0;spain;0;55;1;PHP
hsocasnavarro;Tenerife, Spain;13;55;63;Python
jfigueruela;Sevilla (Spain);3;55;1;CSS
i02sopop;Madrid;5;55;15;JavaScript
Vaporexpress;Madrid;0;55;2;JavaScript
josecamachop;Granada;3;55;2;Matlab
miguelcardo;Spain;1;54;0;
aitor-garcia-p;Donostia - San Sebastián;0;54;0;Java
Brok3r;Palma de Mallorca;6;54;0;Java
Brianholl;La Rioja;1;54;0;
jgallud;Albacete;4;54;0;JavaScript
juanmirod;Málaga;3;54;0;CSS
carlosparamio;Spain;24;54;124;Ruby
swampie;Madrid;11;54;13;Java
willworth;Oviedo;0;54;1;PHP
masalinas;Gijón, Asturias (Spain);1;54;1;Java
joserendal;Asturias, España;3;54;0;Java
miceno;Barcelona, Spain;3;54;13;JavaScript
germanrcuriel;Barcelona, Spain;11;54;58;CoffeeScript and JavaScript
arturomtm;Madrid, ES;17;54;70;JavaScript and CSS
I3G-Carlos;Madrid;0;54;0;PHP
arturomb21;Madrid;1;54;0;
trilopin;Madrid;2;54;2;PHP
edubxb;Barcelona, Spain;28;54;1;Shell
joseprl89;Barcelona;1;54;0;Python
jogaco;Barcelona;6;54;1;JavaScript
RainCT;Barcelona;10;54;7;Python
blaiprat;London & Barcelona;8;54;58;JavaScript
crayfishx;Málaga, Spain;30;54;193;Puppet
ssoto;Seville, Andalusia (Spain);12;54;0;JavaScript
DaniLabs;Spain;1;54;1;ApacheConf
ToniChaz;Spain - Madrid;0;54;0;JavaScript
rodrigorega;Lugo (Spain);1;54;3;Python and Shell
Csardelacal;Madrid, Spain;3;54;3;CSS
santi-gonzalez;Barcelona, Spain;3;54;5;Java
Frias115;Spain;11;54;1;JavaScript and CSS
nlenkowski;Frigiliana, Spain;1;54;0;JavaScript
ccoloma;Spain;4;54;6;JavaScript
pabloogc;Toledo, Spain;7;53;0;Java
splitfirex;España;1;53;0;CSS
Jesux11;Granada (España);0;53;0;Shell
heliosdrm;Valencia, Spain;0;53;3;R
jorge9200;Madrid, Spain.;3;53;0;CoffeeScript
blorente;Madrid, Spain;2;53;0;C++
gabrielperezs;Palma de Mallorca;2;53;3;JavaScript
sheilapbi;San Sebastián;21;53;0;PHP and JavaScript
zerjioang;Bilbao;1;53;1;Java
WeRelax;Madrid;37;53;28;JavaScript
franissen;A Coruña (Spain);0;53;0;R
iamctodd;Boston (Somerville) / Madrid;7;53;0;CSS
juancarlospalomo;Madrid;1;53;0;Java
eagj;Vitoria-Gasteiz;0;53;0;CSS
IngenieroFiestero;Zaragoza;1;53;2;Matlab
polcolomer;Barcelona;5;53;3;Makefile
ianmartorell;Barcelona, Spain;6;53;53;JavaScript
oinak;Madrid;12;53;26;JavaScript
logc;Madrid;4;53;3;Python
Gerpi;Oviedo;0;53;0;OpenSCAD
EstherAF;Galicia, Spain;2;53;2;Java
IanPD;Spain;2;52;0;CSS and PHP
mgoycoolea;Madrid, Spain;0;52;0;Python
manumolina;Barcelona;1;52;0;CSS
murtra;Girona, Spain;5;52;0;Ruby
JMPergar;Madrid, Spain;51;52;414;Java
jpoesen;Andalusia, Spain;17;52;13;JavaScript
jbaylina;Barcelona;0;52;3;JavaScript
alia-del-crys;Madrid;0;52;0;Ruby
caldofran;Madrid;14;52;7;Objective-C
quiqueciria;Madrid;1;52;0;CSS
pauca;Barcelona, Spain;0;52;0;R
Indor;Barcelona;0;52;0;
chrbongardt;Castellón;4;52;1;Objective-C and Ruby
JackPanzer;Spain;1;52;0;Java
javierpena;Madrid, Spain;2;52;0;Puppet
rogegg;Granada;8;52;1;CSS
rlopc;Granada;3;52;1;R
pbarbero;Zaragoza, Spain;2;52;0;TeX
jequeto;MADRID (SPAIN);4;52;0;CSS
donmik;A Coruña;2;52;22;JavaScript
Kaoos;España;2;52;0;Java and XML
josecurioso;España;2;52;0;
vasagrujic;Palma, Spain;2;52;0;Shell
TakuyaMK;Silla, Valencia, Spain;1;51;1;PHP
marcoscv-work;Madrid (Spain);2;51;6;CSS
tranchis;Barcelona;11;51;47;Clojure
marcpursals;Barcelona;1;51;0;Ruby
davidruizrodri;Barcelona;0;51;1;Ruby
itmeze;Spain;0;51;16;Clojure
nestormh;Tenerife, SPAIN;2;51;3;C++
gbvalor;Ogijares - Granada (Spain);1;51;1;C
devgar;Spain;1;51;0;JavaScript
jmingov;Spain;10;51;14;JavaScript
fgomezvela;Spain;1;51;3;R
Feirlane;Spain;6;51;4;Shell
AMongeMoreno;Seville, Spain;1;51;0;JavaScript
juandetoro;Madrid, España;1;51;1;Python
mzaforas;Madrid;10;51;1;Python
lopandpe;Madrid;1;51;1;PHP
aldoborrero;Madrid;4;51;8;Java
Tebo555;Cuenca;0;51;0;
ruizfrontend;Madrid;5;51;3;JavaScript
ogarcia;Madrid;8;51;7;Shell
Schbk77;Granada;1;51;0;Java
jplana;Madrid;29;51;128;Shell
devaddiction;Madrid;11;51;11;PHP
kadaki01;Madrid;9;51;7;Shell
Razgriz85;Bilbao;2;51;0;
brunogarcia;Madrid;16;51;35;JavaScript
Roboe;Madrid;1;51;0;Java
RTeran;España;3;51;0;CSS
maritrinez;Spain;5;51;3;R
forcen;Madrid, Spain;1;50;0;CSS
ZiharkTheAssassin;Toledo;0;50;0;Shell
WanManolo;Granada;2;50;3;JavaScript
angeldelblanco;Madrid;1;50;0;Java
nkm;Alcalá de Henares, Madrid;5;50;15;JavaScript
Victormafire;Madrid;0;50;4;Java
LIAGerechter;Madrid;9;50;0;CSS
sgmac;Madrid;7;50;9;Shell
supermanue;Madrid, Spain;0;50;0;Makefile
raultov;Madrid;0;50;6;Java
rmngrc;Castellón (Spain);0;50;0;JavaScript and CSS
ivanportillo;Córdoba, Spain;12;50;0;CSS and JavaScript
salvacorts;Spain;1;50;0;Python
Juanchote;Spain;4;50;5;Java
ibandominguez;Las Palmas, Spain;1;50;8;PHP
andoni-eguiluz;Bilbao;19;50;4;Java
rborn;Spain;100;50;228;JavaScript
maurovc;Barcelona, Spain;1;50;0;Objective-C
inma610;Madrid (Spain);3;50;0;JavaScript
MartinPJorge;Madrid;6;50;0;Java
alrocar;Valencia, Spain;11;50;34;JavaScript
jorti;Zaragoza, Spain;6;50;13;Shell
blackdtools;Spain;0;50;2;Visual Basic
jjmontesl;Spain;16;50;157;Python
javifond;Spain;1;50;0;JavaScript
pherrusa7;Barcelona;0;50;0;Java
gherrero;Barcelona;1;50;2;CSS
robertrv;Barcelona, Spain;4;50;64;Java
marsty5;London & Barcelona;11;50;2;C and Python
sleistner;Barcelona, Spain;23;50;61;JavaScript
alexandresaiz;Barcelona;11;50;7;Python and PHP
SamYan;Barcelona, Spain;2;50;6;Pascal
Marina42;Barcelona;2;50;1;Java
alexcarol;Barcelona,Spain;9;50;1;PHP
ctbrownlees;Barcelona, Spain;6;50;2;R
DanielFinestrat;Alicante, España.;0;50;0;C#
jraicr;España (Alicante);2;50;2;C++
cquijano;Spain;0;49;3;Shell
Cadiducho;Spain;18;49;4;Java
dachibox;Sevilla;10;49;0;C#
pyrextor;Las Palmas de G.C.;1;49;0;CSS
ivanbtrujillo;Tenerife;3;49;0;CSS
JesusM;Madrid,Spain;32;49;299;Java
ferkawalon;Madrid , Spain;0;49;0;Erlang and Makefile
RubenGuerrero;Madrid, España;2;49;0;JavaScript
gloob;Sevilla, Spain;34;49;58;C
netkrattos;Cartagena, Spain;1;49;1;Java
currix;Huelva (Spain);1;49;3;Perl
supertowers;Madrid, Spain;19;49;13;PHP
JorgeBarderas;Spain;0;49;1;JavaScript and CSS
davebcn87;Barcelona;12;49;13;Ruby
dmiro;Barcelona, Spain;6;49;1;Python
dalloliogm;Barcelona (Spain);23;49;46;Python
ManuLeiva;Barcelona;0;49;0;Java
alexvijo;barcelona;0;49;0;JavaScript
edutec;Cornellà (Barcelona);6;49;22;JavaScript
fadado;Barcelona;0;49;0;Shell and CSS
ferreret;Barcelona;0;49;0;CSS
kix2902;Vigo, Spain;15;49;0;Java
wwjnc;Spain;1;49;0;CSS
hurtzi;España;1;49;0;Java
jesuslpm;Spain;1;49;4;C#
amatosc;Madrid;2;49;0;C++
Sithdown;Gijón, Spain;8;49;5;PHP
jorgecasas;Spain;0;49;1;PHP
ylcumberbirch;Spain, Madrid;1;49;0;CSS and Java
Papipo;Spain;27;49;232;Ruby
jcollado;Madrid (Spain);6;49;1;JavaScript
satanin;Valencia;4;49;2;Java
cinek19;Spain;4;49;2;Java
soulchainer;Murcia;4;49;3;JavaScript
Bumxu;Almería, Spain;4;49;16;JavaScript
abdonrd;Vigo, Galician, Spain;12;49;3;JavaScript
oslugr;Granada, SPAIN;49;49;58;Shell
atno;Barcelona;0;48;0;R
alessandrod;Barcelona, Spain;20;48;71;Shell
bensventures;Barcelona;2;48;0;JavaScript
oriolet;Caldes de Montbui, Barcelona;0;48;1;PHP
Anaibi;Barcelona;1;48;0;JavaScript
josecelano;Spain;4;48;1;PHP
edumo;Spain;0;48;5;Java
aba93;Alicante (Spain);1;48;0;JavaScript
sammla;Barcelona, Spain;11;48;0;JavaScript
xavicarrillo;Barcelona;2;48;1;Python
hanirok;Barcelona;0;48;0;
jsmanrique;Madrid;8;48;8;JavaScript
mirkeet;Vigo, Spain;4;48;0;Java and PHP
borbalher;Tenerife, Canary Islands;2;48;0;PHP
jjdenis;Málaga, Spain;1;48;1;Python
ljcastro;Spain;1;48;0;R
lestrade84;Madrid;5;48;0;Shell
rcarnerorojo;Madrid, Spain;6;48;1;Objective-C
asalber;Madrid;1;48;3;JavaScript
ColinTirado;Madrid;1;48;0;
asu88;España;0;48;2;JavaScript
stbn694;España;0;48;1;JavaScript
albertoalcolea;Zaragoza (Spain);5;48;10;Python
mesjetiu;Requena (Valencia) Spain;0;48;1;JavaScript
tabad;Manzanares, Ciudad Real, Spain;1;48;0;Perl
ManuDevelopia;Spain;4;48;0;Java
gservera;Palma, Illes Balears;1;48;74;Objective-C
David5i6;Valencia, Spain;2;48;31;JavaScript
sjcazzol;Córdoba;1;48;0;Python
vikman90;Spain;0;48;0;C++
jalberto;Sevilla, Spain;29;47;13;Ruby
ericzon;Barcelona;5;47;4;JavaScript
adriannovegil;A Coruña;1;47;1;Java
victorcoder;Barcelona;35;47;174;Ruby
jcasals;Sant Cugat del Vallés, Barcelona;2;47;3;Shell
Arkalex;Barcelona;8;47;0;Java
vcbr;Barcelona;0;47;0;Java
rodrigoaguilera;Barcelona;5;47;1;Shell
pizcogirl;León;0;47;0;Java
OmairaF;Vitoria-Gasteiz;0;47;0;
jjimenezg93;Ourense;2;47;0;PHP
Luffier;Spain;0;47;2;Ruby and Python
rlviana;Madrid (Spain);0;47;0;Java
islimane;Madrid (Spain);3;47;0;JavaScript
jserranohidalgo;Madrid, Spain;2;47;0;
AlbertoGuerreroMartin;Spain;3;47;0;Java
ahll;Madrid;1;47;0;
lacion;Madrid;4;47;8;Shell
jpcid;Madrid;6;47;1;JavaScript
guijemont;Spain;6;47;27;Python
b0rxa;Donostia, Spain;0;47;0;R
Kronen;Spain;0;47;10;IDL
Georgevik;Granada;1;47;0;Java
ramon-rd;Granada;0;47;2;CSS
alvarobp;Valencia, Spain;35;47;55;Ruby
wiyarmir;Málaga, Spain;5;47;11;Java
SAReyes;España;5;47;0;Java
senorhesles;Sevilla;1;47;0;Shell
JoseAntonioLagares;Seville;1;47;0;Java
Ikzer;Asturias, Spain;3;47;0;JavaScript
jcgarsan;Castellón (Spain);1;47;0;C++
