login; location; followers; contributions; stars; language
camposer;Madrid/España;20;874;18;Java
Darkhogg;Madrid, Spain;18;874;11;Java
idelvall;Spain;0;870;0;Java
carlossg;Spain;42;850;147;Shell
Manu343726;Madrid, Spain;32;849;110;C++
jaimegildesagredo;Madrid, Spain;41;845;241;Python
slluis;Barcelona, Spain;51;842;40;C#
mcuadros;Madrid, Spain;44;841;469;PHP
jorgebay;Madrid;12;840;137;JavaScript
toniginard;Barcelona;2;838;0;PHP
Egatuts;Spain;0;838;10;JavaScript
trikitrok;Barcelona;9;836;10;Clojure
h0tbird;Barcelona;9;822;15;Puppet
jleyva;Spain;40;821;129;PHP
robertoDiaz;Madrid - Gijón;0;821;0;JavaScript
axelhzf;Tenerife, Spain;22;818;50;JavaScript
toniher;Barcelona, Catalonia;8;817;1;JavaScript
rafinskipg;Madrid;35;815;52;JavaScript
tombatossals;Castelló de la Plana;65;814;934;JavaScript
pepibumur;Barcelona;61;812;915;Ruby
xexiu;Barcelona;9;812;2;JavaScript
scambra;Zaragoza, Spain;47;796;116;Ruby
emijrp;Spain;16;793;256;Python
rnowm;Sitges, Barcelona;42;793;26;JavaScript
dreyacosta;Madrid, Spain;71;787;447;JavaScript
carlosvin;Madrid;1;783;3;Python
juliantoledo;Spain;12;782;0;
soywiz;Spain, Valencia;81;781;481;Shell
mifl;Oviedo, Spain;29;776;13;Shell
ragerri;Donostia-San Sebastian;7;775;2;Java and Python
magmax;Ciudad Real;23;774;69;Python
rcnavarro;Barcelona;1;772;1;JavaScript
iperdomo;Spain;2;771;3;JavaScript
alastair;Barcelona;76;761;226;Python
amedranogil;Madrid, Spain;5;760;0;OpenSCAD
gotoalberto;Madrid, Spain;25;760;4;Java
mariogarcia;Madrid;23;749;29;Groovy
jbalsas;Madrid, Spain;18;748;48;JavaScript
iblancasa;Granada, Spain;17;747;29;JavaScript
alorma;Barcelona, Spain;26;741;77;Java
kikito;Madrid, Spain;244;733;1796;Lua
mikz;Barcelona, Spain;23;733;144;Ruby
kalta;Málaga, Spain;23;732;184;Erlang
adrian-rosello;Barcelona;8;730;2;Java
karlosgliberal;pamplona/iruña;29;730;38;JavaScript
joakin;Alicante, Spain;13;730;46;JavaScript
yosymfony;Granada, Spain;19;728;34;PHP
muit;Madrid, España;15;727;105;JavaScript
josedom24;Utrera, Sevilla;15;724;3;Python
ebarra;Madrid;15;720;4;JavaScript
mvader;Madrid, Spain;53;718;92;JavaScript
ferranpm;Barcelona;6;718;34;VimL
javierag;Zaragoza, Spain;0;717;0;C
labra;Asturias;38;717;27;Scala
slok;Bilbao;52;714;160;Python
skotperez;Seix , Madrid;9;707;7;PHP
angelortega;El Casar, Guadalajara, Spain;5;701;42;C
jkerihuel;Zaragoza;9;697;1;Shell
oliverds;Barcelona <– Mexico City;0;691;0;PHP
Zardoz89;Spain;9;684;14;C++
franlr;Spain;0;678;1;Puppet
AdrianArroyoCalle;Valladolid, Spain;8;676;33;JavaScript
tangrammer;Spain;6;671;17;Clojure
abenitoc;Madrid;9;670;5;JavaScript
izqui;Madrid, Spain;99;666;445;Go
fdansv;Madrid, Spain;16;662;17;Java
davidsingal;Madrid, Spain;45;652;7;JavaScript
shakaran;Manzanares, Ciudad Real, España;20;649;31;Shell
alexsavio;San Sebastián, Spain;6;644;5;Python
plungerman;Barcelona;1;644;0;
vtellez;Seville (Spain);7;644;2;CSS
trishagee;Sevilla, Spain;114;639;78;Groovy
mateu-aguilo-bosch;Ca'n Picafort, Mallorca, Spain;36;636;69;PHP
ferjm;Madrid;28;636;44;JavaScript
adgellida;Valencia, Spain;2;632;1;Shell
chiquitinxx;Madrid;9;631;89;Groovy
Pafcholini;Barcelona;6;630;2;C
laughedelic;Spain, Granada;38;629;98;Scala
aleph1888;Spain;11;628;22;JavaScript
rmhdev;Donostia;2;625;22;PHP
Theadd;Barcelona;14;625;35;JavaScript
xispa;Barcelona;10;624;0;Python
goinnn;Seville, Spain;38;623;300;Python
demiurgosoft;Granada,Spain;20;620;7;C++
jcagarcia;Valencia, Spain;11;619;0;
srvaroa;Barcelona;18;616;3;Shell
sinmsinm;Lleida;1;613;0;JavaScript
cristianprofile;Madrid/ Spain;7;612;2;Java
Baltasarq;Spain;6;610;2;C++
hhariri;Spain;132;605;412;C#
peretuset;Barcelona, Spain;2;600;0;
lodr;Madrid;49;600;54;JavaScript
salva;Madrid, Spain;26;597;149;Perl
096acc;Spain;5;597;4;CSS
rubiojr;Barcelona, Spain;86;595;430;Ruby
saulmm;Vigo, Spain;265;594;1946;Java
sennett;Barcelona;5;590;1;JavaScript
luisromangz;Seville, Spain;2;584;0;JavaScript
fermayo;Madrid, Spain;18;584;2;Shell
jaimeMF;Spain;37;579;93;Python
alasarr;Sevilla;1;579;0;
7flying;Bilbao;2;579;0;Python
jguitar;Valencia, Spain;12;578;15;Ruby
cor9003;Barcelona;0;576;0;CSS
dgutierr;Barcelona;5;575;1;Shell and Java
adobo;Spain;21;574;158;PHP
manuelcalerosolis;Spain;3;571;4;JavaScript
lordofthejars;Barcelona;40;570;234;Java
arkaitzgarro;Donostia;9;569;1;PHP
fnl;Madrid;7;567;63;Python
ecarreras;Girona;27;565;33;Python
gabriprat;Barcelona;2;562;1;Ruby
joseluis;Spain;0;560;3;Shell
hhkaos;Spain;26;559;9;JavaScript
gorco;Madrid - Spain;7;556;0;JavaScript
awesomebytes;Barcelona, Spain;19;554;37;Python
csierra;Madrid, Spain;6;553;3;Java
moiarcsan;Sevilla;8;550;2;JavaScript
csantosb;Madrid;0;549;2;Emacs Lisp
pablormier;Santiago de Compostela;6;547;;Java
tonydspaniard;Mallorca, Spain;167;546;283;PHP
jbatalle;Barcelona;1;544;0;JavaScript
fcharte;Jaén, Granada, Spain;10;543;11;R
albertoruibal;Galicia, Spain;23;542;41;Java
jmelis;Madrid;6;542;28;Ruby
sixstone-qq;Zaragoza;5;540;0;Python
jbedia;Santander (Spain);0;539;0;
pauek;Barcelona, Spain;24;535;62;C++
danielguillan;Barcelona;32;535;296;CSS
numeroteca;madrid-boston;21;534;45;CSS
uesteibar;Donosti;5;534;0;JavaScript
marcosgdf;Valladolid, Spain;10;534;9;PHP
dfernandezlop;Madrid, Spain;0;532;0;C++
alexfernandez;Madrid, Spain;54;532;359;JavaScript
dmontaner;Valencia - Spain;2;529;2;R
gomezgoiri;Bilbao;16;527;25;Python
kamenim;Spain;4;527;2;Shell
diegolagoglez;Spain;5;526;1;Shell
rafatower;Madrid;5;526;1;Shell
albfan;Gijón, Spain;3;524;63;Shell
markets;Barcelona;52;521;142;Ruby
javacasm;Granada, Jaén (Spain);5;519;3;Java
Sloy;Seville, Spain;28;517;34;Java
dpcat237;Barcelona, Spain;10;516;0;CSS
rogergros;Barcelona, Spain;7;515;0;PHP
amatiasq;Barcelona;26;515;28;JavaScript
stronk7;Navarrete, La Rioja, Spain;34;514;25;PHP
michael-emmi;Madrid, Spain;6;513;4;Ruby
rcsole;Barcelona;42;513;15;JavaScript
mayhem;Barcelona, Spain;41;511;28;Python
alvaroabascar;Barcelona;9;504;2;Python
hecrj;Barcelona;8;504;12;C++
albertofem;Barcelona;14;503;37;PHP
magutierrez;Madrid;1;500;0;
balrog-kun;Madrid;12;499;63;C
icalvete;Madrid;2;496;3;Ruby
jose-izquierdo;Madrid;6;491;1;JavaScript
rocapal;Spain;8;490;15;Java
edulix;Madrid, Spain;38;488;10;JavaScript
jmfernandez;Spain;1;486;1;Shell
lmivan;Madrid, Spain;52;483;92;Groovy
MortI2C;Barcelona, Catalunya;2;482;0;CSS
NCordon;Granada, Spain;20;482;12;C++
agustincl;Barcelona;64;480;38;PHP
jcarlosgarcia;Spain;5;480;7;Ruby
LeandroGuillen;Madrid;5;479;3;JavaScript
SametSisartenep;Alicante, Spain;6;474;7;JavaScript
Razican;Bilbao, Spain;22;473;12;Java
