province,population
Madrid,6376610
Barcelona,5435373
Valencia,2521771
Sevilla,1937412
Alicante,1852789
Málaga,1626168
Murcia,1463797
Cádiz,1247884
Bilbao,1138090
Coruña,1130354
Baleares,1121739
Las Palmas,1102750
Asturias,1054408
Tenerife,1017785
Zaragoza,967354
Pontevedra,948588
Granada,919663
Córdoba,796680
Tarragona,792868
Gerona,741017
