login; location; followers; contributions; stars; contributionsStreak; contributionsCurrentStreak
pablovargan;Elda, Alicante, Spain;12;3;2;;
pocho23;Alcoy;6;3;0;;
dekimus;Elche, Spain;0;3;0;;
enrike7;Elche;1;3;0;;
pabloangeletti;Alicante;11;3;0;;
jasalgir;Benidorm;0;3;0;;
jc-69;Elche;0;3;0;;
euroeducation;alicante;0;3;0;;
rafaelvalero;Alicante;0;3;0;;
arbizzani;Alicante;0;3;2;;
periket2000;Alicante;1;2;0;;
JHipolito;Elche, Alicante. Spain;2;2;0;;
jraicr;España (Alicante);2;2;2;;
davidpv;Alcoy;11;2;85;;
AlfavilleLM;Alicante (Spain);0;2;0;;
MaturanoRuiz;Elche (Alicante);0;2;0;;
pablomarcos;Alicante (Spain);0;2;3;;
gabicuesta;Alicante, Spain;0;2;0;;
lesterjack;Alicante;0;2;0;;
marcerubio;alicante, spain;1;2;0;;
moisesbelda;Alcoy;3;2;1;;
rias;Alicante, Spain;0;2;0;;
auveele;Alcoy (Spain);2;2;1;;
Unaipg;Alicante, Spain;4;2;0;;
crico;Alicante (España);7;2;0;;
PacoCalvo;Callosa d'en Sarrià, Alacant, Spain;0;1;0;;
vmolero;Alicante, Spain;0;1;2;;
vginert;El Campello, Alicante;0;1;0;;
xbarber;Elche - Spain;0;1;0;;
doctorsender;Alcoy;0;1;1;;
IsraelIglesias2016;Alicante;0;1;0;;
rcrespocano;Ibi, Alicante, Spain;0;1;0;;
albertogutimac;Alicante;3;1;0;;
Salvagm;Alicante;6;1;0;;
fsoleraracil;Alicante;3;1;1;;
brainbrain34;Spain (Benidorm-Alicante);1;1;0;;
antoniocorbi;Alicante, Spain;1;1;0;;
asunmayoral;Elche, Alicante, Spain;0;1;0;;
jacorachan;Alicante;2;1;6;;
AlvYuste;Alicante;1;1;0;;
JDValle;Alcoy, Alicante, Spain;0;1;0;;
josepcrespo;Benissa, Alicante, Spain;2;1;1;;
jsperezg;Alicante - Spain;0;1;0;;
jmahiques;Alcoy;7;1;0;;
freeadri;Elche(Alicante);0;1;0;;
GApps-Consultores;Alicante, Spain;4;1;1;;
ebarbeito;Alicante, Spain;5;1;0;;
o0Coro0o;Elche;0;1;0;;
sangatxo;Alicante (Spain);0;1;0;;
